fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T12:00Z,60.60,-22.75,958.0,77.1,-193.5,12.4,0.34,3,52.6,-173.3,15.9,19.8,18.4,33.8,21.2,14.6
6,2026-09-24T18:00Z,62.47,-21.44,959.1,133.6,-147.0,15.8,0.84,3,127.9,-101.7,17.2,18.4,35.8,42.3,13.7,11.9
12,2026-09-25T00:00Z,63.58,-18.15,963.6,90.9,-130.9,5.3,0.58,1,89.3,-85.5,4.3,23.6,41.6,34.2,17.5,0.6
18,2026-09-25T06:00Z,66.00,-14.25,967.6,110.0,-101.4,4.1,0.83,1,80.9,-69.9,4.7,18.6,14.9,9.3,15.6,-0.5
24,2026-09-25T12:00Z,67.16,-15.86,970.3,282.7,-7.7,11.8,1.91,3,217.8,5.1,1.9,7.3,311.9,340.5,7.3,-1.6
30,2026-09-25T18:00Z,66.98,-16.99,974.1,248.0,-7.1,,1.90,,203.8,-1.4,-7.2,1.4,270.1,344.3,1.3,-6.4
36,2026-09-26T00:00Z,67.16,-16.59,976.8,245.8,28.2,,2.25,,197.4,36.2,-14.3,1.6,139.5,236.7,0.5,-8.4
42,2026-09-26T06:00Z,66.73,-16.45,979.8,205.8,-21.7,,1.72,,152.8,-20.5,4.1,4.9,81.7,117.9,2.2,6.2
48,2026-09-26T12:00Z,67.30,-14.10,982.1,128.0,-51.3,11.0,1.24,3,79.5,-54.0,9.7,5.5,56.2,27.1,3.7,10.4
54,2026-09-26T18:00Z,67.35,-14.09,985.5,47.9,-106.3,17.1,0.10,3,-12.2,-96.4,17.3,3.4,27.1,24.3,4.7,16.3
60,2026-09-27T00:00Z,67.92,-13.28,987.5,24.8,-149.1,22.7,-0.42,3,-36.1,-125.0,5.9,2.8,324.5,1.9,6.0,3.6
66,2026-09-27T06:00Z,67.81,-14.95,987.8,76.4,-112.7,25.6,0.47,3,-7.5,-116.7,-25.9,5.2,245.5,346.2,5.6,-23.2
72,2026-09-27T12:00Z,67.48,-15.78,987.8,198.2,-174.1,24.3,0.99,3,82.3,-178.1,-25.7,7.1,233.3,340.3,7.9,-23.6
78,2026-09-27T18:00Z,66.96,-17.92,988.0,203.7,-115.1,,1.12,,162.5,-104.0,-3.9,14.9,279.4,300.3,3.3,-4.7
90,2026-09-28T06:00Z,68.21,-27.48,1000.5,159.2,-17.5,-0.0,,,94.7,-3.6,-14.2,17.3,281.1,186.9,8.7,-6.8
96,2026-09-28T12:00Z,67.96,-31.21,1003.4,87.6,-64.9,11.2,,,26.2,-50.0,-11.2,4.6,239.9,172.2,6.3,-8.4
102,2026-09-28T18:00Z,67.75,-29.59,1005.8,48.6,-58.6,14.0,,,-0.3,-54.1,16.3,2.6,115.5,137.7,4.4,9.4
108,2026-09-29T00:00Z,67.73,-29.95,1008.8,67.1,-72.1,19.9,,,-19.6,-73.3,-19.3,1.3,259.0,84.5,4.0,-15.2
114,2026-09-29T06:00Z,67.71,-30.24,1010.3,114.1,-94.8,16.9,,,5.1,-108.5,-22.9,1.1,257.0,45.7,6.1,-18.7
