fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,57.26,-170.99,968.3,10.1,-122.3,29.1,-0.64,3,-38.4,-127.7,-6.0,17.2,32.0,327.9,23.6,-9.8
6,2026-09-25T00:00Z,58.71,-169.27,962.5,169.5,-75.1,11.0,1.23,3,156.8,-72.1,11.1,13.1,310.8,311.1,24.2,18.7
12,2026-09-25T06:00Z,58.96,-174.73,962.5,161.6,-75.3,4.9,1.21,1,136.0,-77.9,5.2,22.7,260.6,264.5,16.9,17.4
18,2026-09-25T12:00Z,57.97,-177.81,967.3,174.5,-92.7,4.5,1.15,1,134.1,-120.4,2.9,13.5,219.8,212.1,9.5,13.8
24,2026-09-25T18:00Z,56.90,-177.98,970.7,-20.0,26.0,13.5,-0.14,6,-39.5,-29.5,12.6,9.8,152.5,147.8,7.7,22.5
30,2026-09-26T00:00Z,56.24,-176.15,970.7,-96.2,-53.0,10.2,-1.98,5,-115.6,-96.1,9.4,14.6,98.6,96.2,14.8,11.1
36,2026-09-26T06:00Z,56.46,-172.71,967.8,-46.5,-77.1,-7.1,-1.51,5,-62.1,-114.9,-5.9,20.4,83.7,92.9,21.1,-6.5
42,2026-09-26T12:00Z,56.69,-168.81,970.8,-59.7,-51.3,-7.6,-1.54,5,-80.7,-90.7,-7.5,21.2,76.4,80.1,24.1,-6.8
48,2026-09-26T18:00Z,57.45,-165.16,973.6,-37.7,-69.8,-5.7,-1.32,5,-80.5,-112.2,-5.9,15.9,59.1,69.4,18.5,-6.1
54,2026-09-27T00:00Z,58.32,-163.76,976.5,-14.1,-60.6,-1.8,-0.82,5,-41.3,-74.3,-2.0,8.5,48.3,64.8,12.1,-4.0
60,2026-09-27T06:00Z,58.58,-162.78,978.6,8.1,-40.0,1.3,-0.22,1,-9.6,-60.8,1.3,5.8,80.6,84.2,8.9,1.4
66,2026-09-27T12:00Z,58.51,-161.56,981.1,0.7,-51.0,0.4,-0.46,1,-25.4,-92.6,0.2,6.2,93.7,89.6,9.6,0.7
72,2026-09-27T18:00Z,58.50,-160.39,983.1,39.6,-67.5,0.1,0.16,1,19.2,-101.6,0.4,7.1,105.3,111.4,8.1,-0.7
78,2026-09-28T00:00Z,58.14,-158.95,985.3,15.0,-47.6,-0.8,-0.14,1,-8.0,-58.2,-1.7,6.5,122.7,113.7,9.5,-0.4
84,2026-09-28T06:00Z,57.80,-158.33,987.8,28.7,-22.6,-4.0,0.34,1,-4.9,-55.8,-5.4,8.3,150.0,134.4,11.3,-1.0
90,2026-09-28T12:00Z,56.71,-157.42,991.3,17.9,-66.5,-2.8,-0.23,1,-14.6,-100.2,-4.9,12.0,155.6,133.7,17.0,-0.3
