fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,60.94,-55.35,1000.9,-320.6,-308.5,42.1,-2.99,4,-366.3,-334.4,32.0,27.2,147.2,116.4,31.5,30.8
6,2026-09-25T00:00Z,58.66,-52.43,999.8,-279.0,-302.2,39.0,-2.98,4,-321.9,-331.1,33.8,30.9,126.7,115.7,34.9,34.4
12,2026-09-25T06:00Z,57.25,-45.72,995.6,-210.3,-264.0,40.2,-2.93,4,-281.5,-296.9,39.5,29.5,108.9,105.8,33.3,39.6
18,2026-09-25T12:00Z,56.75,-42.00,992.3,-57.9,-257.6,33.3,-2.03,4,-127.5,-266.8,33.2,26.1,100.1,99.5,28.6,32.8
24,2026-09-25T18:00Z,56.34,-36.36,988.9,-68.3,-255.8,35.4,-2.17,4,-117.2,-269.0,35.0,29.5,85.8,83.4,28.2,32.9
30,2026-09-26T00:00Z,57.19,-31.25,987.5,-119.7,-269.7,40.5,-2.66,4,-132.3,-267.5,40.3,31.8,72.1,70.1,21.5,36.6
36,2026-09-26T06:00Z,58.29,-25.16,987.7,-110.2,-248.6,41.3,,,-115.6,-245.8,40.7,36.4,65.0,54.7,23.0,31.1
42,2026-09-26T12:00Z,60.25,-18.57,987.4,-141.4,-269.2,36.5,-2.77,4,-128.8,-247.4,36.6,28.5,51.2,44.7,27.4,25.9
48,2026-09-26T18:00Z,61.85,-16.25,986.0,-146.6,-254.8,34.1,-2.78,4,-124.8,-228.3,34.5,18.8,33.4,41.1,25.7,24.9
54,2026-09-27T00:00Z,63.38,-14.21,985.7,-147.4,-257.3,31.0,-2.79,4,-131.4,-237.7,31.0,17.3,30.3,31.5,23.6,24.5
60,2026-09-27T06:00Z,64.83,-12.38,985.8,-178.5,-226.3,32.9,-2.87,4,-159.9,-208.7,32.9,16.6,20.8,22.0,22.8,29.7
66,2026-09-27T12:00Z,66.49,-11.42,986.5,-146.7,-253.0,32.6,-2.78,4,-146.8,-238.1,32.6,15.5,12.7,13.0,21.8,30.6
72,2026-09-27T18:00Z,67.86,-10.68,986.8,-82.9,-221.2,30.5,-2.33,4,-119.5,-207.7,30.7,13.2,12.0,8.9,18.8,26.9
78,2026-09-28T00:00Z,69.06,-9.98,988.5,67.5,-145.1,31.0,0.28,3,29.9,-130.9,30.9,8.2,11.1,11.6,15.3,25.8
84,2026-09-28T06:00Z,69.47,-9.81,989.6,3.8,-18.6,33.8,-0.11,3,20.4,5.3,32.5,4.9,43.6,34.0,12.4,25.3
90,2026-09-28T12:00Z,69.76,-8.07,994.1,-19.8,-36.0,29.4,,,9.5,-26.8,25.4,6.7,63.9,49.8,16.3,20.1
