cycle,storm,fsu_number,status
2026092412,EPAC,1,ok
2026092412,GREENLAND,19,ok
2026092412,LABRADOR,48,ok
2026092418,EPAC,1,ok
2026092418,GREENLAND,17,ok
2026092418,LABRADOR,40,merged
2026092418,AUTO_260924_01,5,ok
2026092418,AUTO_260924_02,8,ok
2026092418,AUTO_260924_03,,merged
2026092418,AUTO_260924_04,,ok
2026092418,AUTO_260924_05,4,ok
2026092412,AUTO_260924_01,,merged
2026092412,AUTO_260924_02,8,ok
2026092412,AUTO_260924_03,,ok
2026092412,AUTO_260924_04,,ok
2026092412,AUTO_260924_05,4,ok
2026092412,AUTO_260924_06,5,ok
2026092418,AUTO_260924_06,,merged
2026092512,AUTO_260924_03,,merged
2026092512,EPAC,1,ok
2026092512,GREENLAND,13,ok
2026092512,LABRADOR,29,merged
2026092512,AUTO_260924_01,5,ok
2026092512,AUTO_260924_02,8,ok
2026092512,AUTO_260924_04,,ok
2026092512,AUTO_260924_05,4,ok
