ID,date,Latitude,Longitude,Category,Pressure
2025202632,2026010400,52.9,-48.2,DHF,991
2025202632,2026010406,55.8,-50.2,HF,980
2025202632,2026010412,58.1,-54.7,HF,974
2025202632,2026010418,59.9,-57.4,S,975
2025202633,2026010600,55.2,-48.6,DHF,967
2025202633,2026010606,57.6,-49.4,HF,960
2025202633,2026010612,59.2,-51.2,HF,956
2025202633,2026010618,60.3,-51.5,HF,959
2025202633,2026010700,61.6,-52.1,S,968
2025202634,2026010812,50,-10,DHF,984
2025202634,2026010818,50.3,-4.5,HF,971
2025202634,2026010900,50.7,-0.1,HF,964
2025202634,2026010906,51,3.6,S,971
2025202635,2026011206,59.9,-6.9,S,961
2025202635,2026011212,61.7,-4.7,HF,964
2025202635,2026011218,63.7,-5.2,HF,964
2025202636,2026011212,48,-58.4,DHF,969
2025202636,2026011218,49.9,-56.3,HF,956
2025202636,2026011300,50.6,-53.6,HF,953
2025202636,2026011306,51.9,-48,HF,955
2025202636,2026011312,54.1,-43.5,HF,957
2025202636,2026011318,55.7,-40.9,S,959
2025202636,2026011400,56.4,-37.4,HF,965
2025202636,2026011406,57.7,-34.4,HF,967
2025202636,2026011412,58.5,-33.5,S,968
2025202637,2026011706,55.9,-51.1,DHF,951
2025202637,2026011712,57.7,-48.4,HF,946
2025202637,2026011718,59.5,-47.1,HF,945
2025202637,2026011800,60.5,-48,S,951
2025202638,2026012006,51.5,-41.7,DHF,977
2025202638,2026012012,52.4,-35.4,HF,977
2025202638,2026012018,51.7,-27.5,S,977
2025202639,2026012206,47.6,-24.6,DHF,983
2025202639,2026012212,47,-18,HF,973
2025202639,2026012218,47.6,-13.2,HF,963
2025202639,2026012300,47.8,-9.7,HF,956
2025202639,2026012306,48.3,-7.9,HF,956
2025202639,2026012312,48.7,-6.6,S,956
2025202640,2026012506,51.3,-36.2,DHF,960
2025202640,2026012512,54.1,-36.5,HF,952
2025202640,2026012518,55.1,-38.5,HF,940
2025202640,2026012600,54.2,-40.5,HF,940
2025202640,2026012606,53.2,-38.8,HF,943
2025202640,2026012612,52.9,-36.8,HF,945
2025202640,2026012618,52.1,-34.6,HF,952
2025202640,2026012700,52.1,-31.8,HF,955
2025202640,2026012706,52.2,-30.7,HF,958
2025202640,2026012712,51.4,-29.8,S,962
2025202641,2026012712,45,-58.7,DHF,981
2025202641,2026012718,45.7,-55.7,HF,972
2025202641,2026012800,47,-49.9,HF,971
2025202641,2026012806,49.1,-44.4,S,968
2025202641,2026012812,49.1,-38.9,DHF,962
2025202641,2026012818,48.8,-34.3,HF,960
2025202641,2026012900,51.4,-27.6,HF,960
2025202641,2026012906,50.4,-22.9,S,962
2025202642,2026012812,60,-42.3,HF,nopres
2025202642,2026012818,59.7,-42.3,HF,nopres
2025202642,2026012900,59.7,-42.4,HF,nopres
2025202642,2026012906,59.7,-42.4,HF,nopres
2025202642,2026012912,59.7,-43,HF,nopres
2025202642,2026012918,60.5,-42.1,HF,nopres
2025202642,2026013000,59.3,-43.2,HF,nopres
2025202643,2026013000,41.5,-52.9,DHF,986
2025202643,2026013006,43.3,-48.5,HF,983
2025202643,2026013012,46.7,-43.5,HF,977
2025202643,2026013018,49.5,-40.8,HF,968
