ID,date,Latitude,Longitude,Category,Pressure
2025202625,2026010100,44,164.5,DHF,992
2025202625,2026010106,46.4,168.7,HF,988
2025202625,2026010112,49.3,171.8,HF,982
2025202625,2026010118,51.7,175.2,S,987
2025202626,2026010306,38.5,155.5,DHF,981
2025202626,2026010312,40.5,158.1,HF,975
2025202626,2026010318,41.8,161.3,HF,964
2025202626,2026010400,44.2,165.9,HF,960
2025202626,2026010406,47.3,170.3,HF,956
2025202626,2026010412,51.4,172.8,HF,953
2025202626,2026010418,54.8,176.5,HF,944
2025202626,2026010500,55.8,-179.4,HF,949
2025202626,2026010506,57.2,-174.2,HF,955
2025202626,2026010512,57.8,-168.1,HF,960
2025202626,2026010518,58.6,-162.7,HF,964
2025202626,2026010600,59.1,-156.7,S,964
2025202627,2026011000,43.2,170.7,DHF,985
2025202627,2026011006,42.2,174,HF,984
2025202627,2026011012,41.5,179.2,HF,984
2025202627,2026011018,39.4,-178.4,S,986
2025202628,2026011118,45.7,152.2,DHF,970
2025202628,2026011200,48.9,151.7,HF,963
2025202628,2026011206,49.8,152.2,HF,953
2025202628,2026011212,51.7,148.5,HF,953
2025202628,2026011218,53.2,145.4,S,956
2025202629,2026011318,46.2,146.9,DHF,970
2025202629,2026011400,47.8,147.8,HF,969
2025202629,2026011406,48.6,148.4,S,967
2025202630,2026011900,38.8,177.7,DHF,980
2025202630,2026011906,38.2,178.8,HF,976
2025202630,2026011912,41.3,-177.8,DHF,977
2025202630,2026011918,44.4,-177.3,DHF,974
2025202630,2026012000,46.7,-175.4,S,976
2025202631,2026013000,34.8,158.2,DHF,989
2025202631,2026013006,36.6,163.4,HF,982
2025202631,2026013012,38.2,166.7,HF,980
2025202631,2026013018,39.4,171.2,HF,980
2025202631,2026013000,41.5,174.7,HF,978
2025202631,2026013100,41.4,177.3,S,980
2025202632,2026020312,40.6,163.2,DHF,988
2025202632,2026020318,40.9,165.7,HF,980
2025202632,2026020400,40.8,165.8,HF,982
2025202632,2026020406,40.8,169.3,S,976
2025202633,2026020812,46.5,-179.9,DHF,974
2025202633,2026020818,50.2,-176.6,HF,966
2025202633,2026020900,53.2,-175.3,HF,963
2025202633,2026020906,55.9,-176.8,HF,964
2025202633,2026020912,58.1,-178.2,S,969
2025202634,2026020912,46.1,173.3,DHF,962
2025202634,2026020918,47.9,177.1,HF,951
2025202634,2026021000,50.9,179.7,HF,948
2025202634,2026021006,53.5,-178.1,HF,945
2025202634,2026021012,55.6,-176.2,S,943
2025202635,2026021118,50.7,-153.9,DHF,989
2025202635,2026021200,53.4,-148.2,HF,983
2025202635,2026021206,54.6,-143.8,HF,977
2025202635,2026021212,56.3,-141.3,S,977
2025202636,2026022512,60,-143.5,DHF,987
2025202636,2026022518,59.9,-142.4,HF,982
2025202636,2026022600,59.4,-144,S,981
2025202637,2026030400,35.2,141.8,DHF,996
2025202637,2026030406,35.7,143.4,HF,988
2025202637,2026030412,36.8,145.6,HF,984
2025202637,2026030418,37.6,146.7,S,978
2025202638,2026032418,38.7,160.7,S,985
2025202638,2026032500,41.3,162.4,HF,978
2025202638,2026032506,44.3,161.9,HF,977
2025202638,2026032512,45.7,158.7,S,972
2025202639,2026042518,49.2,-179.9,DHF,967
2025202639,2026042600,50.7,-177.7,HF,958
2025202639,2026042606,52.6,-174.7,HF,956
2025202639,2026042612,54.5,-174,S,957
2025202640,2026052300,35.1,154.9,DHF,998
2025202640,2026052306,36.2,158.3,HF,988
2025202640,2026052312,37.2,162.1,HF,984
2025202640,2026052318,39,165.9,S,982
1,2026011918,44.4,-177.3,DHF,974
2,2026021906,59.7,-148.3,DHF,1018
3,2026031100,39.7,148.7,DHF,1000
2025202638,2026032418,38.7,160.7,S,985
2024202526,2024123118,41.8,151.8,DHF,982
2024202526,2025010100,41.8,152.9,HF,973
2024202526,2025010106,41.3,154.8,HF,970
2024202526,2025010112,40.2,158.5,HF,972
2024202527,2025010112,43.4,162.1,DHF,964
2024202527,2025010118,42.8,162,HF,959
2024202527,2025010200,43.5,167.1,HF,963
2024202527,2025010206,44.2,169.5,HF,964
2024202527,2025010212,45.5,171.3,S,964
2024202528,2025010618,53.8,-149.1,DHF,961
2024202528,2025010700,57.4,-150.7,HF,959
2024202528,2025010706,59.4,-151.6,S,967
2024202529,2025010818,44.9,-155,DHF,965
2024202529,2025010900,46.1,-153,HF,963
2024202529,2025010906,48.8,-149.6,HF,970
2024202529,2025010912,52.3,-146.3,S,972
2024202530,2025010900,46.7,170.6,DHF,972
2024202530,2025010906,47.2,173.3,HF,967
2024202530,2025010912,48.2,177.3,HF,960
2024202530,2025010918,49.1,-178.8,HF,959
2024202530,2025011000,50.6,-175.5,HF,959
2024202530,2025011006,52.4,-172.8,S,961
2024202531,2025011012,45.5,-168.3,DHF,984
2024202531,2025011018,47.3,-164.6,HF,972
2024202531,2025011100,49.4,-161.3,HF,966
2024202531,2025011106,52.3,-157.5,HF,970
2024202531,2025011112,55.4,-154.1,S,979
2024202532,2025011012,40.1,160.5,DHF,986
2024202532,2025011018,40.7,165.9,HF,981
2024202532,2025011100,42.7,175.7,S,976
2024202532,2025011106,44.7,-179.4,S,970
2024202532,2025011112,45.7,-176.9,DHF,964
2024202532,2025011118,48.1,-171.8,HF,961
2024202532,2025011200,51.4,-168.3,S,954
2024202533,2025011312,37.8,151.3,DHF,986
2024202533,2025011318,39.5,155.7,HF,982
2024202533,2025011400,40.9,158,HF,979
2024202533,2025011406,41.5,159.6,HF,977
2024202533,2025011412,42.6,162.3,S,973
2024202534,2025011606,40.7,163.8,DHF,989
2024202534,2025011612,40.7,168.7,HF,988
2024202534,2025011618,40.9,175.7,S,985
2024202535,2025011618,41.4,143.6,DS,1002
2024202535,2025011700,42.2,146.9,HF,996
2024202535,2025011706,42.9,149.4,HF,989
2024202535,2025011712,43.8,152.2,S,984
2024202536,2025012700,39.2,161.4,DHF,984
2024202536,2025012706,42.3,158.7,HF,980
2024202537,2025020400,38.1,167.7,DHF,984
2024202537,2025020406,39.4,170.9,HF,978
2024202537,2025020412,40.6,174.2,HF,973
2024202537,2025020418,41.5,177.3,HF,970
2024202537,2025020500,41.8,179.8,S,975
2024202538,2025020806,38.6,172.4,S,978
2024202538,2025020812,39.8,177.2,HF,971
2024202538,2025020818,41.5,-178.1,S,973
2024202539,2025021318,45.7,157.8,DHF,948
2024202539,2025021400,46.7,159.8,HF,946
2024202539,2025021406,47.4,161,HF,948
2024202539,2025021412,48.3,161.4,S,948
2024202540,2025022600,38.3,179.8,DHF,973
2024202540,2025022606,40.7,-175.2,HF,963
2024202540,2025022612,41.9,-171.9,HF,956
2024202540,2025022618,42.7,-167.8,HF,950
2024202540,2025022700,44.2,-165.3,HF,952
2024202540,2025022706,45.1,-162.3,HF,954
2024202540,2025022712,46.7,-159.9,S,956
2024202541,2025031012,38.2,159.3,DHF,992
2024202541,2025031018,40.1,160.7,HF,984
2024202541,2025031100,38.5,162,HF,981
2024202541,2025031106,38.9,163.3,HF,976
2024202541,2025031112,40.4,166.5,S,974
2024202542,2025032006,43.3,161.3,DHF,979
2024202542,2025032012,44.7,165.2,HF,974
2024202542,2025032018,45.8,167.7,S,971
2024202542,2025032100,46.1,173.2,HF,972
2024202542,2025032106,46.6,175.8,S,970
2025202601,2025090512,35.6,142.8,DS,990
2025202601,2025090518,36.2,146.9,HF,981
2025202601,2025090600,36.4,150.5,HF,980
2025202601,2025090606,35.9,152.7,HF,969
2025202601,2025090612,35.2,155.6,S,984
2025202602,2025092606,51.7,-144,DHF,987
2025202602,2025092612,54.2,-140.3,HF,972
2025202602,2025092618,55.8,-137.8,HF,962
2025202602,2025092700,57.2,-136.4,S,966
2025202603,2025092900,42.5,172.3,DHF,962
2025202603,2025092906,43.7,175.7,HF,988
2025202603,2025092912,44.4,177.8,S,993
2025202604,2025100218,46.2,151.1,DHF,987
2025202604,2025100300,48.6,155.6,HF,985
2025202604,2025100306,50.9,159.8,S,979
2025202605,2025100818,50,152.9,DHF,982
2025202605,2025100900,50.3,156.8,HF,977
2025202605,2025100906,50.4,158.5,HF,972
2025202605,2025100912,51.5,161.3,HF,968
2025202605,2025100918,53.4,164.3,S,966
2025202606,2025100918,34.3,150.3,DHF,980
2025202606,2025101000,34.4,154.4,HF,974
2025202606,2025101006,34.4,158.7,HF,977
2025202606,2025101012,34.5,162.3,HF,978
2025202606,2025101018,35.3,166.3,HF,984
2025202606,2025101100,38.3,172.2,S,984
2025202606,2025101106,41.9,177.4,DHF,978
2025202606,2025101112,44.9,-177.5,DHF,978
2025202606,2025101118,50.9,-172.7,DHF,977
2025202606,2025101200,55.6,-171.3,DHF,976
2025202606,2025101206,58.7,-171,HF,964
2025202606,2025101212,62.4,-167.5,HF,960
2025202606,2025101218,65,-165,S,964
2025202607,2025101406,45.7,-179.9,DHF,984
2025202607,2025101412,48.8,-175.1,HF,967
2025202607,2025101418,51.3,-173.8,HF,961
2025202607,2025101500,52.7,-172.9,S,959
2025202608,2025101412,35.4,158.1,DHF,979
2025202608,2025101418,35.4,160.3,HF,992
2025202608,2025101500,35.2,164.3,HF,998
2025202608,2025101506,34.9,166.5,S,1004
2025202609,2025101618,37.6,146.4,S,1004
2025202609,2025101700,37.3,149.6,HF,999
2025202609,2025101706,37.3,154.8,HF,997
2025202609,2025101712,37.2,157.8,S,1000
2025202609,2025101718,38.8,163.5,DHF,999
2025202609,2025101800,39.8,168.1,DHF,997
2025202609,2025101806,40.6,172.2,DHF,995
2025202609,2025101812,42.9,177.2,DHF,990
2025202609,2025101818,45.3,-177.6,DHF,980
2025202609,2025101900,47.5,-173.5,HF,964
2025202609,2025101906,48.9,-169.4,HF,960
2025202609,2025101912,50.8,-164.3,HF,963
2025202609,2025101918,52.4,-158.7,HF,967
2025202609,2025102000,53.3,-152.2,S,970
2025202610,2025102800,44.8,-144.4,DHF,994
2025202610,2025102806,46.3,-142.8,HF,984
2025202610,2025102812,47.8,-140,HF,972
2025202610,2025102818,49.8,-136.9,HF,968
2025202610,2025102900,51.7,-134.4,HF,968
2025202610,2025102906,52.8,-131.7,S,981
2025202611,2025102900,47.7,-160,DHF,974
2025202611,2025102906,51.2,-155.1,HF,968
2025202611,2025102912,54.7,-153.8,HF,958
2025202611,2025102918,56.5,-155.4,HF,952
2025202611,2025103000,56.6,-156.2,S,953
2025202612,2025103000,46.1,-165.2,DHF,972
2025202612,2025103006,47.1,-160.9,HF,962
2025202612,2025103012,48,-156,HF,957
2025202612,2025103018,49.5,-153,S,954
2025202613,2025110100,41.2,143.3,S,972
2025202613,2025110106,43.4,145.6,HF,964
2025202613,2025110112,45.2,148.3,S,966
2025202614,2025110718,49.5,165.5,DHF,963
2025202614,2025110800,51.6,166.2,HF,946
2025202614,2025110806,53.2,167.8,HF,940
2025202614,2025110812,54.5,169.6,S,940
2025202615,2025111512,39.8,179.9,DHF,980
2025202615,2025111518,43.8,-175.7,HF,972
