id,season,onset,lead_h,when,lat,lon,p_centre,depth,scale_km,grad_hpa_per_100km,vg_kt,gust_kt,step_km,identifiable
2020202103,2020,2020-09-30 06,0,2020-09-30 06,49.0,208.0,970.6,30.2,680.0,5.216,44.9,59.0,0.0,1
2020202103,2020,2020-09-30 06,6,2020-09-30 00,49.0,204.5,969.9,33.3,630.0,5.919,48.5,58.2,255.0,1
2020202103,2020,2020-09-30 06,12,2020-09-29 18,50.25,204.5,975.1,32.0,620.0,5.726,46.7,58.9,139.0,1
2020202103,2020,2020-09-30 06,18,2020-09-29 12,49.0,204.75,984.2,24.6,710.0,4.128,37.8,69.5,140.0,1
2020202103,2020,2020-09-30 06,24,2020-09-29 06,46.5,204.0,984.8,26.4,590.0,4.883,42.1,64.0,284.0,1
2020202103,2020,2020-09-30 06,30,2020-09-29 00,45.25,202.5,990.1,22.2,570.0,4.2,37.7,70.3,181.0,1
2020202103,2020,2020-09-30 06,36,2020-09-28 18,44.25,199.75,993.5,20.1,460.0,4.487,37.8,63.6,244.0,1
2020202103,2020,2020-09-30 06,42,2020-09-28 12,43.75,199.75,997.9,15.4,530.0,3.083,29.6,50.9,56.0,1
2020202103,2020,2020-09-30 06,48,2020-09-28 06,43.75,196.25,1001.4,12.3,480.0,2.601,25.4,43.8,281.0,1
2020202103,2020,2020-09-30 06,54,2020-09-28 00,44.75,192.0,1004.0,9.6,490.0,1.981,20.3,43.3,356.0,1
2020202103,2020,2020-09-30 06,60,2020-09-27 18,46.0,189.25,1005.4,7.4,540.0,1.436,15.5,41.2,256.0,1
2020202103,2020,2020-09-30 06,66,2020-09-27 12,49.0,189.5,1005.4,3.1,1200.0,0.5,6.0,32.6,334.0,1
2020202103,2020,2020-09-30 06,72,2020-09-27 06,52.5,194.0,999.5,0.7,1200.0,0.297,3.4,40.5,501.0,0
2020202103,2020,2020-09-30 06,78,2020-09-27 00,53.75,201.0,992.4,8.0,1200.0,1.322,14.3,61.9,487.0,1
