label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2020202101,2020-08-29 12,53.25,180.0,981.6,1002.4,20.7,24.4,710.0,0.47,3.433,31.4,40.0,548.0,2020,8,
1,2020202102,2020-09-26 00,41.75,189.0,996.9,1013.0,16.2,16.5,490.0,1.3,3.368,31.8,47.2,549.0,2020,9,
1,2020202103,2020-09-29 06,46.5,204.0,984.8,1011.2,26.4,28.8,590.0,1.81,4.883,42.1,62.8,529.0,2020,9,
1,2020202104,2020-10-27 06,29.5,145.5,1011.7,1015.2,3.5,3.4,390.0,0.4,0.86,12.3,16.3,540.0,2020,10,
1,2020202105,2020-11-14 00,48.25,206.0,1000.9,1013.1,12.2,11.6,320.0,0.91,3.635,28.5,45.5,369.0,2020,11,
1,2020202106,2020-11-22 06,46.25,180.0,983.0,1005.6,22.5,25.1,630.0,1.06,3.991,36.8,51.6,516.0,2020,11,
1,2020202107,2020-11-26 12,45.5,167.25,991.8,1010.6,18.7,17.9,280.0,1.73,6.378,41.2,83.5,522.0,2020,11,
1,2020202108,2020-11-28 00,39.5,148.5,1003.0,1016.2,13.2,13.5,480.0,1.21,2.811,28.2,41.2,471.0,2020,11,
1,2020202109,2020-12-02 00,37.75,191.0,998.6,1007.0,8.4,8.1,240.0,0.51,3.377,26.9,51.5,527.0,2020,12,
1,2020202110,2020-12-03 18,38.25,157.75,999.7,1012.6,12.9,12.9,440.0,0.63,2.941,29.0,44.3,545.0,2020,12,
1,2020202111,2020-12-11 00,34.0,196.75,1001.5,1008.1,6.6,6.6,520.0,0.45,1.276,16.6,21.3,547.0,2020,12,
1,2020202112,2020-12-12 12,38.75,148.0,997.0,1010.0,13.0,13.2,470.0,1.42,2.813,28.3,41.9,470.0,2020,12,
1,2020202113,2020-12-13 00,42.0,155.25,984.0,1007.5,23.5,24.4,530.0,1.44,4.599,40.8,64.1,355.0,2020,12,
1,2020202114,2020-12-13 06,36.75,191.5,979.0,1013.5,34.6,33.2,300.0,2.35,11.072,62.9,172.7,479.0,2020,12,
1,2020202115,2020-12-13 06,40.25,159.0,969.0,1006.1,37.1,36.7,430.0,3.56,8.542,59.6,123.4,543.0,2020,12,
1,2020202116,2020-12-13 12,42.0,163.0,965.8,1003.9,38.0,37.1,370.0,3.55,10.036,62.2,140.0,547.0,2020,12,
1,2020202117,2020-12-22 00,56.25,184.75,948.7,982.5,33.8,37.5,580.0,3.43,6.458,48.3,72.5,549.0,2020,12,
1,2020202118,2020-12-25 18,44.0,164.5,978.3,998.8,20.6,26.6,790.0,1.08,3.373,34.5,45.3,343.0,2020,12,
1,2020202119,2020-12-28 12,35.75,151.75,1010.7,1016.7,6.0,5.7,340.0,0.41,1.663,18.2,26.6,545.0,2020,12,
1,2020202120,2020-12-30 06,38.75,149.75,984.8,1001.0,16.2,20.2,730.0,0.87,2.764,30.8,41.2,532.0,2020,12,
1,2020202121,2021-01-04 00,52.5,193.75,983.7,987.1,3.3,7.3,1200.0,0.83,0.612,6.9,7.2,544.0,2020,1,
1,2020202122,2021-01-04 18,49.75,204.25,956.9,983.6,26.7,27.3,390.0,2.68,7.005,47.6,85.7,543.0,2020,1,
1,2020202123,2021-01-05 00,50.75,206.5,952.6,981.1,28.5,29.5,440.0,3.18,6.699,47.6,80.7,548.0,2020,1,
1,2020202124,2021-01-06 06,35.75,138.5,1011.5,1015.3,3.8,3.7,150.0,0.48,2.454,18.9,39.2,549.0,2020,1,
1,2020202125,2021-01-07 06,50.5,212.75,968.6,995.4,26.8,30.8,630.0,1.81,4.883,41.4,59.1,542.0,2020,1,
1,2020202126,2021-01-07 06,39.5,178.25,992.1,1009.4,17.3,16.8,340.0,1.36,4.929,38.4,72.3,532.0,2020,1,
1,2020202127,2021-01-07 18,43.5,152.75,978.0,1003.0,25.0,27.7,610.0,2.19,4.544,41.3,61.6,528.0,2020,1,
1,2020202128,2021-01-12 06,45.5,192.0,999.3,997.9,-1.3,-1.1,480.0,0.31,-0.236,nan,nan,548.0,2020,1,
1,2020202129,2021-01-12 18,38.0,149.0,998.8,1014.3,15.5,16.9,570.0,0.9,2.967,31.2,45.0,543.0,2020,1,
1,2020202130,2021-01-14 00,45.75,203.0,962.5,998.9,36.4,38.1,530.0,2.6,7.186,54.5,93.6,541.0,2020,1,
1,2020202131,2021-01-18 00,36.5,163.25,998.4,1014.5,16.1,15.9,410.0,0.68,3.881,35.3,60.9,544.0,2020,1,
1,2020202132,2021-01-18 18,37.5,153.0,997.2,1010.2,13.1,12.9,400.0,0.83,3.229,30.5,49.5,550.0,2020,1,
1,2020202133,2021-01-18 18,41.5,144.75,1000.4,1013.2,12.8,14.6,710.0,1.0,2.059,23.3,29.0,340.0,2020,1,
1,2020202134,2021-01-22 06,51.5,162.0,993.6,1003.8,10.2,12.0,640.0,1.37,1.877,18.8,22.4,529.0,2020,1,
1,2020202135,2021-01-24 12,31.75,152.5,996.5,1015.3,18.7,20.5,610.0,0.81,3.36,37.6,59.6,512.0,2020,1,
1,2020202136,2021-01-29 18,45.5,155.25,979.0,1003.6,24.6,31.3,760.0,1.4,4.112,39.5,53.8,545.0,2020,1,
1,2020202137,2021-02-04 00,39.0,138.5,1007.6,1018.4,10.8,10.1,340.0,1.12,2.976,27.1,44.1,498.0,2020,2,
1,2020202138,2021-02-08 18,41.0,158.5,1000.1,999.1,-0.9,-0.3,440.0,0.83,-0.06,nan,nan,550.0,2020,2,
1,2020202139,2021-02-14 12,28.75,131.25,1005.7,1013.5,7.8,8.4,550.0,0.4,1.53,21.2,29.7,547.0,2020,2,
1,2020202140,2021-02-17 06,45.75,143.75,976.0,1000.6,24.6,27.9,600.0,1.93,4.646,41.0,60.5,542.0,2020,2,
