track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw,dt,gfs_f024_kt
654,2021-10-01 18,37.5,145.5,6.0,1,1,44.7,290.0,14.998,74.2,84.3,965.7,1013.8272565625967,48.164109589940495,1009.5628514954738,43.8997045228175,229.54248046875,95.40385369960819,5909.14013671875,1999.2966879268129,317.8017325151656,-216.1171875,9.045964241027832,23.820550537109398,121.52561950683594,-133.3619384765625,40.89,2021-10-01 18,45.4
682,2021-10-19 00,45.0,184.75,nan,0,0,14.5,300.0,4.736,34.5,44.0,1001.6,1029.5493648282495,27.97099568762451,989.7602670701235,-11.818102070501482,213.48486328125,44.45521315556444,5715.5146484375,1796.6168744503402,332.1958001187135,-347.65771484375,4.406752586364746,13.166833496093773,-209.07078552246094,-253.3294677734375,15.67,2021-10-19 00,29.4
700,2021-10-22 00,56.5,190.25,0.0,1,1,49.1,430.0,11.438,66.5,76.5,946.2,1013.6463776237827,67.4137726433139,972.9210823407708,26.688477360302045,61.2568359375,-36.186405402786676,5437.23681640625,200.20393174930993,193.30838012943906,-400.10302734375,5.649993419647217,6.080621337890648,339.91192626953125,-121.63409423828125,45.09,2021-10-22 00,50.4
706,2021-10-24 00,45.5,167.75,6.0,1,1,36.4,390.0,9.258,58.9,68.7,974.3,1025.0267990373497,50.7022751115685,1000.312977031657,25.988453105875806,161.1181640625,95.83416178588405,5636.54248046875,201.7775268252796,285.92576023459554,-242.8359375,7.635490894317627,10.538720703125023,-232.23793029785156,-633.68359375,31.6,2021-10-24 00,53.7
710,2021-10-24 00,43.75,221.0,0.0,1,1,32.3,460.0,7.15,52.8,71.3,967.5,1022.746029365025,55.21642731424379,997.5552841702728,30.025682119491535,53.7099609375,-55.537225855470574,5553.47509765625,568.3116429766533,289.74326148589745,-394.53271484375,2.7622628211975098,14.071954345703148,-18.83888816833496,-560.6853637695312,27.87,2021-10-24 00,53.4
728,2021-11-01 00,48.25,219.25,nan,0,0,17.8,560.0,3.491,31.7,41.1,986.6,1010.1759456821738,23.588909549361347,995.6458591328247,9.05882300001224,89.4482421875,40.842525786898754,5504.35498046875,472.9709192743434,182.2431009045236,-286.859375,2.0623769760131836,10.205865478515648,-124.34966278076172,-52.12982940673828,14.79,2021-11-01 00,35.6
737,2021-11-03 18,39.25,158.0,12.0,1,1,23.3,560.0,4.428,41.3,67.9,991.5,1018.2756717066957,26.729284987945675,1003.9730633282823,12.426676609532251,111.48974609375,57.88861306682434,5644.67431640625,1525.1582917343571,244.4035531720678,-144.12890625,6.215558052062988,19.765283203125023,27.645702362060547,-265.47601318359375,22.72,2021-11-03 18,47.5
750,2021-11-09 00,41.5,198.75,nan,0,0,9.9,450.0,2.19,22.4,34.1,1000.8,1023.6187123560062,22.79638569584995,987.4910516907026,-13.331274969453602,58.3671875,-23.927894633528773,5557.77197265625,1587.4136058283461,303.3302032303283,-183.22021484375,3.617337703704834,15.280786132812523,-314.89556884765625,-385.19622802734375,9.95,2021-11-09 00,48.1
782,2021-11-17 12,47.75,183.25,nan,0,0,13.5,310.0,4.35,32.2,35.6,1001.7,1017.0562771117291,15.37445338126031,1012.0501579565187,10.36833422604991,102.38525390625,28.010710895630844,5455.2041015625,1994.898373476674,269.2036488306876,-282.0234375,4.1424736976623535,7.401177978515648,0.3187001347541809,-204.72425842285156,14.27,2021-11-17 12,31.5
792,2021-11-20 18,36.5,164.5,18.0,1,1,20.5,340.0,5.829,43.9,51.8,991.6,1023.0757453798947,31.44311598536342,1003.9805566575947,12.347927263063411,169.673828125,-18.116858551290207,5695.0498046875,1615.1188979134688,339.1929555834274,-321.77099609375,6.230978965759277,21.633569335937523,21.22092056274414,-440.60650634765625,19.37,2021-11-20 18,70.3
791,2021-11-20 18,50.5,158.5,nan,0,0,33.0,600.0,6.005,47.9,58.3,982.3,1036.4994514089985,54.22583080352979,996.7308976283175,14.457277022848757,-36.8408203125,-57.22319115964468,5279.5625,210.44279711428544,237.83612284636496,-312.6123046875,5.185795307159424,4.147943115234398,72.06218719482422,-170.97323608398438,22.69,2021-11-20 18,37.3
796,2021-11-22 06,50.5,224.25,6.0,1,1,26.3,420.0,6.415,45.6,59.7,984.4,1021.123314496768,36.72341215301799,1007.5998416517579,23.199939308007856,126.40380859375,149.2440005255358,5442.296875,1456.9552078689662,313.02877233109314,-176.22119140625,4.013551712036133,8.386254882812523,-188.3297882080078,-413.4957580566406,26.94,2021-11-22 06,18.7
