track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
0,0,2020-10-01 00,43.25,203.75,976.8,1003.0,26.3,430.0,1.68,6.141,46.7,83.6,46.4,66.3,258.0
0,0,2020-10-01 06,43.75,205.5,973.1,1005.0,32.0,480.0,1.67,6.831,51.8,92.2,44.1,63.6,103.0
0,0,2020-10-01 12,45.25,206.25,969.0,1005.1,36.1,500.0,2.1,7.468,55.3,98.1,42.5,63.8,145.0
0,0,2020-10-01 18,47.0,207.0,968.7,1005.8,37.1,540.0,2.05,7.229,54.6,92.2,43.5,62.6,174.0
0,0,2020-10-02 00,49.25,208.5,968.4,1005.4,36.9,570.0,2.02,6.94,53.0,85.5,45.1,63.2,202.0
0,0,2020-10-02 06,52.75,208.25,968.9,1005.0,36.2,600.0,1.49,6.5,50.0,76.2,41.4,57.8,292.0
0,0,2020-10-02 12,54.75,207.75,970.9,1002.9,32.0,580.0,1.44,5.941,45.8,67.9,38.5,52.4,291.0
0,0,2020-10-02 18,56.5,204.5,975.5,1000.2,24.7,700.0,0.75,4.204,36.0,47.0,37.4,52.2,332.0
3,0,2020-10-03 00,46.0,184.5,982.8,1001.4,18.7,480.0,1.02,3.994,34.6,51.8,35.4,48.6,392.0
3,0,2020-10-03 06,46.5,189.0,981.3,1001.6,20.3,480.0,1.18,4.321,36.5,55.6,33.8,47.0,421.0
3,0,2020-10-03 12,47.5,193.25,981.8,1002.4,20.6,520.0,1.09,4.164,35.9,52.7,35.4,52.7,493.0
3,0,2020-10-03 18,48.75,197.75,984.6,1004.2,19.6,550.0,1.02,3.805,33.6,47.2,35.3,47.4,464.0
3,0,2020-10-04 00,51.0,203.0,986.3,1006.1,19.8,540.0,1.02,3.889,33.4,46.7,34.2,47.2,491.0
3,0,2020-10-04 06,53.0,207.0,988.5,1007.9,19.4,570.0,0.74,3.598,31.3,42.0,30.1,42.2,451.0
3,0,2020-10-04 12,55.0,210.5,988.9,1008.3,19.4,560.0,0.51,3.618,30.9,41.2,29.0,39.7,477.0
3,0,2020-10-04 18,56.75,212.0,986.9,1007.8,20.9,550.0,0.86,3.98,32.8,44.4,30.2,44.2,494.0
3,0,2020-10-05 00,58.0,212.5,980.5,1006.9,26.5,480.0,1.73,5.667,41.4,62.4,36.0,53.2,330.0
4,0,2020-10-05 12,48.5,146.5,987.4,1007.5,20.2,610.0,2.02,3.754,34.1,46.8,28.1,38.3,443.0
4,0,2020-10-05 18,49.5,147.75,979.7,1006.3,26.6,470.0,2.98,5.896,44.6,72.4,37.5,59.1,72.0
4,0,2020-10-06 00,50.25,150.25,979.3,1006.4,27.2,470.0,2.59,5.998,44.9,72.8,39.8,54.2,195.0
4,0,2020-10-06 06,50.5,153.75,980.5,1004.9,24.4,490.0,2.29,5.263,41.2,63.7,35.3,50.0,245.0
5,0,2020-10-06 06,53.75,161.75,982.7,1006.4,23.7,1020.0,2.0,3.812,36.2,44.1,30.8,43.2,57.0
5,0,2020-10-06 12,55.5,164.5,976.1,1005.7,29.5,840.0,2.12,4.766,41.5,54.0,34.3,45.3,115.0
5,0,2020-10-06 18,57.5,167.0,969.0,1003.1,34.2,720.0,2.08,5.79,46.4,64.1,37.3,56.5,173.0
5,0,2020-10-07 00,57.75,171.5,965.8,1002.2,36.4,780.0,1.35,5.962,48.2,65.8,40.6,55.7,293.0
6,0,2020-10-10 00,56.0,221.75,980.8,997.2,16.3,470.0,1.72,3.649,29.7,41.1,32.5,46.0,95.0
6,0,2020-10-10 06,56.5,221.25,979.5,997.2,17.7,410.0,1.98,4.343,32.9,48.6,31.9,38.3,112.0
6,0,2020-10-10 12,57.0,221.5,978.7,997.1,18.4,300.0,2.06,5.91,37.7,65.8,32.6,45.4,111.0
7,0,2020-10-10 12,58.0,178.0,988.8,1004.5,15.7,810.0,0.87,2.548,23.9,28.0,26.9,37.0,335.0
6,0,2020-10-10 18,57.5,221.5,981.2,998.2,17.0,310.0,1.94,5.199,34.6,57.5,32.7,44.0,56.0
7,0,2020-10-10 18,57.25,177.0,991.3,1006.7,15.4,760.0,0.75,2.544,23.8,28.2,30.2,39.7,412.0
