track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
0,0,2020-10-01 00,43.25,203.75,976.8,1003.0,26.3,430.0,1.68,6.141,46.7,83.6,46.4,66.3,258.0
1,0,2020-10-01 00,55.0,202.0,977.9,1001.3,23.3,710.0,0.46,3.866,34.1,44.1,29.0,40.4,462.0
2,0,2020-10-01 00,43.0,153.25,997.4,1014.3,17.0,380.0,0.68,4.356,35.4,59.6,33.4,45.0,168.0
3,0,2020-10-01 00,40.75,172.75,1003.6,1016.2,12.6,340.0,0.59,3.585,30.4,51.3,32.7,46.1,224.0
0,0,2020-10-01 06,43.75,205.5,973.1,1005.0,32.0,480.0,1.67,6.831,51.8,92.2,44.1,63.6,103.0
1,0,2020-10-01 06,56.75,200.0,983.7,1002.6,18.9,710.0,0.25,3.122,28.2,34.8,28.8,49.1,482.0
2,0,2020-10-01 06,43.5,154.0,997.6,1013.7,16.1,370.0,0.88,4.237,34.3,57.4,33.6,43.4,118.0
3,0,2020-10-01 06,39.75,176.0,1004.3,1015.3,11.0,350.0,0.54,3.037,27.5,44.3,31.3,42.5,342.0
0,0,2020-10-01 12,45.25,206.25,969.0,1005.1,36.1,500.0,2.1,7.468,55.3,98.1,42.5,63.8,145.0
1,0,2020-10-01 12,57.5,197.5,987.8,1002.8,14.9,640.0,0.51,2.639,23.9,29.2,25.7,36.5,418.0
2,0,2020-10-01 12,44.0,155.5,1000.0,1014.9,14.9,380.0,0.81,3.869,32.3,52.0,28.2,39.4,140.0
3,0,2020-10-01 12,38.25,179.25,1004.6,1015.4,10.8,350.0,0.43,2.977,27.5,44.9,29.1,38.6,453.0
0,0,2020-10-01 18,47.0,207.0,968.7,1005.8,37.1,540.0,2.05,7.229,54.6,92.2,43.5,62.6,174.0
2,0,2020-10-01 18,44.0,156.75,1000.3,1014.3,13.9,480.0,0.94,2.935,27.8,39.4,28.7,39.1,103.0
3,0,2020-10-01 18,37.25,181.25,1004.7,1014.5,9.8,340.0,0.43,2.788,26.3,43.0,28.1,37.8,420.0
0,0,2020-10-02 00,49.25,208.5,968.4,1005.4,36.9,570.0,2.02,6.94,53.0,85.5,45.1,63.2,202.0
2,0,2020-10-02 00,44.5,159.0,1000.8,1014.0,13.2,540.0,0.8,2.563,25.5,34.1,30.0,43.1,480.0
3,0,2020-10-02 00,35.5,184.0,1005.1,1013.6,8.6,350.0,0.43,2.353,23.9,37.8,26.9,35.4,88.0
0,0,2020-10-02 06,52.75,208.25,968.9,1005.0,36.2,600.0,1.49,6.5,50.0,76.2,41.4,57.8,292.0
2,0,2020-10-02 06,44.75,162.0,997.3,1011.9,14.6,560.0,0.59,2.763,27.2,36.6,31.9,46.1,343.0
3,0,2020-10-02 06,34.5,185.25,1005.1,1012.5,7.4,360.0,0.3,2.009,21.6,33.1,25.7,34.0,491.0
0,0,2020-10-02 12,54.75,207.75,970.9,1002.9,32.0,580.0,1.44,5.941,45.8,67.9,38.5,52.4,291.0
6,0,2020-10-02 12,45.0,175.5,995.1,1006.2,11.1,540.0,0.43,2.175,22.2,28.7,31.3,42.5,376.0
3,0,2020-10-02 12,34.5,185.25,1006.0,1011.6,5.5,320.0,0.39,1.711,18.6,28.2,23.9,32.9,107.0
0,0,2020-10-02 18,56.5,204.5,975.5,1000.2,24.7,700.0,0.75,4.204,36.0,47.0,37.4,52.2,332.0
6,0,2020-10-02 18,45.5,179.0,989.0,1003.6,14.6,570.0,0.52,2.739,26.9,35.8,33.9,49.1,411.0
6,0,2020-10-03 00,46.0,184.5,982.8,1001.4,18.7,480.0,1.02,3.994,34.6,51.8,35.4,48.6,392.0
6,0,2020-10-03 06,46.5,189.0,981.3,1001.6,20.3,480.0,1.18,4.321,36.5,55.6,33.8,47.0,421.0
7,0,2020-10-03 06,36.25,217.5,1013.5,1019.2,5.7,240.0,0.46,2.217,20.4,35.0,29.0,42.0,158.0
6,0,2020-10-03 12,47.5,193.25,981.8,1002.4,20.6,520.0,1.09,4.164,35.9,52.7,35.4,52.7,493.0
7,0,2020-10-03 12,37.5,218.5,1012.6,1018.7,6.1,240.0,0.59,2.388,21.2,36.6,30.1,37.6,44.0
6,0,2020-10-03 18,48.75,197.75,984.6,1004.2,19.6,550.0,1.02,3.805,33.6,47.2,35.3,47.4,464.0
7,0,2020-10-03 18,37.5,219.0,1014.2,1020.0,5.8,210.0,0.69,2.645,21.9,40.5,26.0,36.4,66.0
6,0,2020-10-04 00,51.0,203.0,986.3,1006.1,19.8,540.0,1.02,3.889,33.4,46.7,34.2,47.2,491.0
7,0,2020-10-04 00,37.75,219.75,1014.0,1019.1,5.1,190.0,0.81,2.626,21.0,40.0,23.3,31.0,88.0
6,0,2020-10-04 06,53.0,207.0,988.5,1007.9,19.4,570.0,0.74,3.598,31.3,42.0,30.1,42.2,451.0
6,0,2020-10-04 12,55.0,210.5,988.9,1008.3,19.4,560.0,0.51,3.618,30.9,41.2,29.0,39.7,477.0
6,0,2020-10-04 18,56.75,212.0,986.9,1007.8,20.9,550.0,0.86,3.98,32.8,44.4,30.2,44.2,494.0
6,0,2020-10-05 00,58.0,212.5,980.5,1006.9,26.5,480.0,1.73,5.667,41.4,62.4,36.0,53.2,330.0
9,0,2020-10-05 06,46.0,146.5,992.8,1007.1,14.3,740.0,1.16,2.428,25.4,31.5,30.0,43.6,496.0
9,0,2020-10-05 12,48.5,146.5,987.4,1007.5,20.2,610.0,2.02,3.754,34.1,46.8,28.1,38.3,443.0
9,0,2020-10-05 18,49.5,147.75,979.7,1006.3,26.6,470.0,2.98,5.896,44.6,72.4,37.5,59.1,72.0
9,0,2020-10-06 00,50.25,150.25,979.3,1006.4,27.2,470.0,2.59,5.998,44.9,72.8,39.8,54.2,195.0
9,0,2020-10-06 06,50.5,153.75,980.5,1004.9,24.4,490.0,2.29,5.263,41.2,63.7,35.3,50.0,245.0
10,0,2020-10-06 06,53.75,161.75,982.7,1006.4,23.7,1020.0,2.0,3.812,36.2,44.1,30.8,43.2,57.0
10,0,2020-10-06 12,55.5,164.5,976.1,1005.7,29.5,840.0,2.12,4.766,41.5,54.0,34.3,45.3,115.0
10,0,2020-10-06 18,57.5,167.0,969.0,1003.1,34.2,720.0,2.08,5.79,46.4,64.1,37.3,56.5,173.0
10,0,2020-10-07 00,57.75,171.5,965.8,1002.2,36.4,780.0,1.35,5.962,48.2,65.8,40.6,55.7,293.0
11,0,2020-10-07 06,39.0,216.0,1017.4,1022.9,5.5,540.0,0.21,1.032,12.9,15.3,26.9,33.7,424.0
11,0,2020-10-07 12,42.0,217.0,1014.5,1021.5,7.1,410.0,0.46,1.666,17.6,23.2,27.9,38.7,421.0
11,0,2020-10-07 18,43.25,220.25,1011.4,1020.1,8.7,410.0,0.48,2.046,20.4,27.9,29.6,45.4,86.0
11,0,2020-10-08 00,44.25,221.75,1007.5,1017.4,9.9,370.0,0.54,2.549,23.5,34.1,31.5,41.8,80.0
11,0,2020-10-08 06,44.0,222.25,1006.5,1017.0,10.5,350.0,0.53,2.837,25.1,38.1,33.6,44.1,85.0
11,0,2020-10-08 12,42.75,225.0,1005.5,1015.2,9.8,450.0,0.26,2.129,21.6,29.3,34.3,47.2,353.0
14,0,2020-10-08 18,37.75,155.25,1015.1,1021.8,6.7,270.0,0.41,2.364,21.8,36.0,28.0,37.8,132.0
14,0,2020-10-09 00,39.0,161.25,1013.1,1021.2,8.1,290.0,0.52,2.662,23.9,39.5,27.1,51.4,375.0
14,0,2020-10-09 06,40.0,167.0,1009.7,1018.6,8.9,240.0,0.5,3.569,27.5,51.8,30.1,45.2,35.0
14,0,2020-10-09 12,40.75,173.0,1009.0,1017.1,8.2,300.0,0.4,2.617,23.4,37.4,28.9,41.3,342.0
16,0,2020-10-09 18,54.75,222.75,985.4,1000.0,14.6,570.0,1.23,2.812,25.3,32.1,31.8,46.8,128.0
14,0,2020-10-09 18,41.25,178.0,1007.0,1014.9,7.9,320.0,0.36,2.365,22.0,33.5,27.6,39.0,84.0
16,0,2020-10-10 00,56.0,221.75,980.8,997.2,16.3,470.0,1.72,3.649,29.7,41.1,32.5,46.0,95.0
14,0,2020-10-10 00,42.25,185.0,1003.9,1012.3,8.5,300.0,0.46,2.695,23.6,37.4,28.9,37.4,69.0
16,0,2020-10-10 06,56.5,221.25,979.5,997.2,17.7,410.0,1.98,4.343,32.9,48.6,31.9,38.3,112.0
14,0,2020-10-10 06,43.25,191.75,1003.1,1010.9,7.8,340.0,0.42,2.201,20.8,30.0,27.8,37.8,117.0
16,0,2020-10-10 12,57.0,221.5,978.7,997.1,18.4,300.0,2.06,5.91,37.7,65.8,32.6,45.4,111.0
17,0,2020-10-10 12,58.0,178.0,988.8,1004.5,15.7,810.0,0.87,2.548,23.9,28.0,26.9,37.0,335.0
14,0,2020-10-10 12,44.25,198.0,1001.7,1009.8,8.1,370.0,0.48,2.109,20.3,28.2,29.6,39.3,179.0
