label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2020202101,2020-08-29 12,53.25,180.0,981.6,1002.4,20.7,24.4,710.0,0.47,3.433,31.4,40.0,548.0,2020,8,s0000
0,pool_2020080912_50_165,2020-08-09 12,50.5,165.25,991.2,1010.5,19.4,20.1,510.0,0.71,3.938,33.4,47.6,0.0,2020,8,s0000
0,pool_2020082118_54_222,2020-08-21 18,53.75,221.5,990.1,1008.5,18.4,18.5,420.0,1.85,4.405,34.0,51.0,0.0,2020,8,s0000
0,pool_2020080818_50_202,2020-08-08 18,50.25,201.75,1001.0,1018.2,17.2,17.1,400.0,0.79,4.27,33.6,51.8,0.0,2020,8,s0000
1,2020202102,2020-09-26 00,41.75,189.0,996.9,1013.0,16.2,16.5,490.0,1.3,3.368,31.8,47.2,549.0,2020,9,s0001
0,pool_2020092712_45_148,2020-09-27 12,44.75,148.5,998.6,1015.7,17.1,18.0,540.0,0.63,3.326,31.3,44.1,0.0,2020,9,s0001
1,2020202103,2020-09-29 06,46.5,204.0,984.8,1011.2,26.4,28.8,590.0,1.81,4.883,42.1,62.8,529.0,2020,9,s0002
0,pool_2020090612_50_192,2020-09-06 12,49.75,191.75,983.6,1009.5,25.9,29.8,640.0,2.56,4.654,40.3,56.9,0.0,2020,9,s0002
1,2020202104,2020-10-27 06,29.5,145.5,1011.7,1015.2,3.5,3.4,390.0,0.4,0.86,12.3,16.3,540.0,2020,10,s0003
1,2020202105,2020-11-14 00,48.25,206.0,1000.9,1013.1,12.2,11.6,320.0,0.91,3.635,28.5,45.5,369.0,2020,11,s0004
0,pool_2020111700_48_162,2020-11-17 00,48.5,162.5,994.2,1010.9,16.7,17.4,530.0,1.37,3.289,29.8,41.0,0.0,2020,11,s0004
0,pool_2020110218_45_188,2020-11-02 18,44.75,187.75,996.0,1012.2,16.2,19.7,740.0,0.29,2.663,27.9,35.3,0.0,2020,11,s0004
0,pool_2020110318_48_207,2020-11-03 18,47.75,207.0,993.8,1009.5,15.7,16.3,500.0,1.27,3.263,29.5,41.1,0.0,2020,11,s0004
1,2020202106,2020-11-22 06,46.25,180.0,983.0,1005.6,22.5,25.1,630.0,1.06,3.991,36.8,51.6,516.0,2020,11,s0005
