label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum,tend12,tend24,back_path_km
1,2020202101,2020-08-29 12,53.25,180.0,981.6,1002.4,20.7,24.4,710.0,0.47,3.433,31.4,40.0,548.0,2020,8,t0000,-2.9,-4.2,604.0
0,pool_2020080612_58_195,2020-08-06 12,58.0,195.0,985.7,1006.0,20.2,24.6,750.0,0.16,3.283,29.4,36.1,0.0,2020,8,t0000,-2.0,,323.0
0,pool_2020080818_50_202,2020-08-08 18,50.25,201.75,1001.0,1018.2,17.2,17.1,400.0,0.79,4.27,33.6,51.8,0.0,2020,8,t0000,-3.7,,487.0
0,pool_2020081212_49_156,2020-08-12 12,48.75,156.0,991.7,1007.4,15.6,15.5,410.0,0.83,3.774,31.1,46.9,0.0,2020,8,t0000,-2.2,,282.0
1,2020202105,2020-11-14 00,48.25,206.0,1000.9,1013.1,12.2,11.6,320.0,0.91,3.635,28.5,45.5,369.0,2020,11,t0004,-9.9,-16.5,1652.0
0,pool_2020111506_47_165,2020-11-15 06,47.0,164.75,996.3,1017.0,20.7,20.8,470.0,1.61,4.435,36.9,56.6,0.0,2020,11,t0004,-10.3,,761.0
0,pool_2020110812_51_168,2020-11-08 12,50.75,167.5,988.0,1005.3,17.3,17.5,430.0,1.17,4.075,32.9,49.1,0.0,2020,11,t0004,-9.6,,690.0
0,pool_2020111500_44_164,2020-11-15 00,44.25,163.5,1002.0,1019.5,17.5,17.9,490.0,1.5,3.652,33.0,48.8,0.0,2020,11,t0004,-6.9,,987.0
1,2020202106,2020-11-22 06,46.25,180.0,983.0,1005.6,22.5,25.1,630.0,1.06,3.991,36.8,51.6,516.0,2020,11,t0005,-8.7,-14.8,1864.0
0,pool_2020110318_42_155,2020-11-03 18,42.25,155.25,993.2,1008.7,15.4,16.9,590.0,1.39,2.87,29.2,39.8,0.0,2020,11,t0005,-6.1,,800.0
0,pool_2020112200_44_174,2020-11-22 00,44.25,174.0,987.8,1007.1,19.3,22.5,690.0,0.65,3.258,32.6,43.6,0.0,2020,11,t0005,-7.9,,1052.0
1,2020202107,2020-11-26 12,45.5,167.25,991.8,1010.6,18.7,17.9,280.0,1.73,6.378,41.2,83.5,522.0,2020,11,t0006,-16.3,-23.4,1882.0
0,pool_2020112612_46_167,2020-11-26 12,45.5,167.25,991.8,1010.6,18.7,17.9,280.0,1.73,6.378,41.2,83.5,0.0,2020,11,t0006,-16.3,,1039.0
0,pool_2020111718_50_231,2020-11-17 18,50.25,230.75,962.9,1005.1,42.2,44.2,520.0,3.47,8.503,59.3,103.2,0.0,2020,11,t0006,-17.5,,479.0
0,pool_2020111600_50_171,2020-11-16 00,49.5,171.25,974.3,1013.3,39.0,39.6,470.0,2.05,8.426,57.4,103.4,0.0,2020,11,t0006,-14.1,,539.0
1,2020202108,2020-11-28 00,39.5,148.5,1003.0,1016.2,13.2,13.5,480.0,1.21,2.811,28.2,41.2,471.0,2020,11,t0007,-9.9,-15.7,800.0
0,pool_2020111506_42_168,2020-11-15 06,41.5,168.0,994.1,1019.9,25.8,25.5,420.0,2.92,6.07,46.6,85.5,0.0,2020,11,t0007,-12.5,,917.0
1,2020202110,2020-12-03 18,38.25,157.75,999.7,1012.6,12.9,12.9,440.0,0.63,2.941,29.0,44.3,545.0,2020,12,t0009,-6.3,-14.6,1457.0
0,pool_2020122312_43_196,2020-12-23 12,43.0,195.75,985.1,1003.8,18.7,18.1,330.0,1.43,5.484,39.8,75.0,0.0,2020,12,t0009,-4.4,,922.0
0,pool_2020121306_37_192,2020-12-13 06,36.75,191.5,979.0,1013.5,34.6,33.2,300.0,2.35,11.072,62.9,172.7,0.0,2020,12,t0009,-8.7,,705.0
1,2020202112,2020-12-12 12,38.75,148.0,997.0,1010.0,13.0,13.2,470.0,1.42,2.813,28.3,41.9,470.0,2020,12,t0011,-10.1,-16.8,1228.0
0,pool_2020120400_40_164,2020-12-04 00,39.75,163.75,993.3,1011.1,17.9,17.8,440.0,0.99,4.048,36.0,59.1,0.0,2020,12,t0011,-11.9,,884.0
0,pool_2020121300_36_188,2020-12-13 00,35.75,188.25,981.8,1013.8,32.0,30.3,290.0,2.59,10.462,60.2,167.1,0.0,2020,12,t0011,-12.6,,814.0
0,pool_2020121218_34_184,2020-12-12 18,34.0,184.5,987.7,1014.2,26.5,25.1,320.0,2.63,7.844,52.9,130.9,0.0,2020,12,t0011,-10.4,,856.0
1,2020202113,2020-12-13 00,42.0,155.25,984.0,1007.5,23.5,24.4,530.0,1.44,4.599,40.8,64.1,355.0,2020,12,t0012,-13.0,-23.1,1211.0
0,pool_2020121918_46_158,2020-12-19 18,46.0,158.5,971.9,998.4,26.5,26.3,420.0,3.14,6.273,46.2,81.4,0.0,2020,12,t0012,-13.5,,498.0
