label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum,tend12,back_path_km
0,pool_2020080400_53_165,2020-08-04 00,53.0,164.75,997.8,1017.1,19.3,19.0,370.0,1.26,5.133,36.9,60.0,0.0,2020,8,,-6.3,262.0
0,pool_2020080500_53_178,2020-08-05 00,53.0,177.75,995.9,1016.3,20.4,21.8,580.0,0.62,3.757,32.5,43.9,0.0,2020,8,,-1.1,586.0
0,pool_2020080506_54_181,2020-08-05 06,54.0,181.25,992.5,1014.0,21.5,23.0,570.0,0.81,4.039,34.1,46.6,0.0,2020,8,,-4.8,621.0
0,pool_2020080612_58_195,2020-08-06 12,58.0,195.0,985.7,1006.0,20.2,24.6,750.0,0.16,3.283,29.4,36.1,0.0,2020,8,,-2.0,323.0
0,pool_2020080818_51_158,2020-08-08 18,51.0,158.0,985.9,1007.7,21.7,22.6,540.0,0.4,4.182,35.4,50.2,0.0,2020,8,,-0.3,405.0
0,pool_2020080818_50_202,2020-08-08 18,50.25,201.75,1001.0,1018.2,17.2,17.1,400.0,0.79,4.27,33.6,51.8,0.0,2020,8,,-3.7,487.0
0,pool_2020080912_57_214,2020-08-09 12,57.0,214.0,988.3,1017.0,28.7,28.6,440.0,0.88,6.495,45.0,72.3,0.0,2020,8,,-7.4,673.0
0,pool_2020080912_50_165,2020-08-09 12,50.5,165.25,991.2,1010.5,19.4,20.1,510.0,0.71,3.938,33.4,47.6,0.0,2020,8,,4.9,396.0
0,pool_2020081212_49_156,2020-08-12 12,48.75,156.0,991.7,1007.4,15.6,15.5,410.0,0.83,3.774,31.1,46.9,0.0,2020,8,,-2.2,282.0
0,pool_2020082118_54_222,2020-08-21 18,53.75,221.5,990.1,1008.5,18.4,18.5,420.0,1.85,4.405,34.0,51.0,0.0,2020,8,,3.2,182.0
0,pool_2020082612_55_153,2020-08-26 12,55.25,152.75,997.4,1014.3,16.9,17.1,460.0,0.75,3.717,30.2,42.2,0.0,2020,8,,-2.8,566.0
0,pool_2020082718_53_170,2020-08-27 18,53.0,170.0,990.5,1010.4,19.8,22.1,610.0,0.74,3.619,31.9,42.3,0.0,2020,8,,-3.8,321.0
0,pool_2020082718_52_218,2020-08-27 18,52.0,217.75,1000.4,1016.2,15.8,15.6,440.0,1.24,3.538,29.4,41.9,0.0,2020,8,,-5.5,520.0
0,pool_2020090318_54_175,2020-09-03 18,54.25,175.0,1002.0,1017.5,15.5,16.4,550.0,0.97,2.986,26.5,34.3,0.0,2020,9,,-8.2,489.0
0,pool_2020090412_55_178,2020-09-04 12,55.0,178.0,995.9,1016.1,20.2,21.1,560.0,0.85,3.768,31.9,42.9,0.0,2020,9,,-3.2,126.0
0,pool_2020090612_50_192,2020-09-06 12,49.75,191.75,983.6,1009.5,25.9,29.8,640.0,2.56,4.654,40.3,56.9,0.0,2020,9,,-3.4,604.0
0,pool_2020090706_58_194,2020-09-07 06,58.0,193.5,985.7,1014.5,28.8,33.9,720.0,0.21,4.706,39.2,51.8,0.0,2020,9,,-0.3,732.0
0,pool_2020090812_55_166,2020-09-08 12,54.75,165.5,999.5,1017.3,17.8,19.2,610.0,0.45,3.145,28.1,35.9,0.0,2020,9,,-3.3,344.0
0,pool_2020090912_56_166,2020-09-09 12,56.0,166.25,993.0,1019.9,26.9,27.6,540.0,1.68,5.104,39.8,57.5,0.0,2020,9,,-0.7,63.0
0,pool_2020091200_53_171,2020-09-12 00,53.0,171.0,992.5,1018.3,25.8,29.9,660.0,1.3,4.524,38.7,52.9,0.0,2020,9,,-10.5,431.0
0,pool_2020091212_56_172,2020-09-12 12,55.75,171.75,982.3,1017.0,34.7,38.4,610.0,1.55,6.291,48.1,71.0,0.0,2020,9,,-10.2,339.0
0,pool_2020092106_54_191,2020-09-21 06,54.5,191.25,980.3,1008.4,28.1,32.9,690.0,0.76,4.768,40.3,54.7,0.0,2020,9,,0.6,298.0
