track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
6,2020-10-03 12,47.5,193.25,nan,0,0,20.6,520.0,4.164,35.9,52.7,981.8,1017.2167923303509,35.44848178347593,1000.0906839630974,18.322373416222376,111.04345703125,8.929458218888009,5609.4609375,660.0068848768378,317.9878864535948,-261.3916015625,2.7259414196014404,11.439813232421898,-119.58119201660156,-454.1798095703125
18,2020-10-11 00,47.0,210.75,nan,0,0,9.6,360.0,2.6,23.1,42.4,999.5,1020.0040065731935,20.479470440380965,998.9255804460477,-0.5989556867648389,77.56494140625,-26.671643203449477,5551.72412109375,1344.7039645663892,308.97222228619665,-267.2421875,2.237400531768799,13.238427734375023,-457.1394348144531,-528.6199340820312
16,2020-10-11 00,57.75,221.5,nan,0,0,14.8,280.0,4.881,32.1,37.8,984.9,1011.9808140991777,27.089334606990178,982.377641376473,-2.5138381157145204,37.765625,139.75070038947413,5394.6279296875,1574.8159386564207,258.4643516990048,-267.2421875,6.952686786651611,11.425347900390648,69.0238265991211,1.8449816703796387
34,2020-10-17 00,36.75,152.75,nan,0,0,7.8,330.0,2.273,22.6,38.4,1011.1,1023.1815386887438,12.057576286400035,1016.6647158867854,5.540753484441666,131.240234375,95.1479463152405,5752.6298828125,1978.242805588002,355.48319375631246,-319.57568359375,6.136476516723633,22.984429931640648,-325.9938049316406,-162.3043670654297
62,2020-10-24 12,37.25,196.5,nan,0,0,9.0,700.0,1.524,19.2,41.0,1005.5,1024.0433112264718,18.556616890534315,1014.6313133702062,9.144619034268658,25.3974609375,30.46584703612996,5642.6240234375,888.7115373034594,253.4301747563782,-228.51611328125,3.2189974784851074,19.611016845703148,-286.27001953125,-294.08251953125
64,2020-10-27 06,45.5,185.5,nan,0,0,6.5,280.0,2.254,19.8,26.3,1014.9,1022.4435889643618,7.563523046393016,1013.7237135309912,-1.1563523869775736,79.134765625,84.20580982929492,5554.1103515625,1998.4244383315377,284.60911833665386,-128.1650390625,4.38640832901001,10.566308593750023,-257.6722412109375,-357.6845397949219
67,2020-10-27 06,54.75,169.0,nan,0,0,14.8,570.0,2.831,25.4,32.7,1002.7,1022.8867346110346,20.205704337597126,1013.3864408358181,10.70541056238062,13.87255859375,-11.086839282135863,5358.77001953125,1947.7579388270212,226.78980613590636,-175.59716796875,3.055009365081787,6.489160156250023,-46.114505767822266,-231.19947814941406
73,2020-10-29 06,47.25,214.25,nan,0,0,12.0,300.0,3.803,29.1,40.8,1007.6,1023.1281351141606,15.554648786035614,1014.2881446612962,6.714658333171201,149.291015625,148.24668907244862,5594.19921875,1995.7768454370516,205.86678314512926,-175.79150390625,2.0748753547668457,14.068261718750023,-184.89779663085938,-316.0366516113281
75,2020-10-29 06,29.75,202.25,nan,0,0,8.4,780.0,1.354,20.2,42.6,1006.9,1023.6700385940328,16.788813008095303,1010.9959468887847,4.114721302847215,-91.72509765625,-18.05774758351591,5594.08203125,200.3855598098052,346.068592039172,-187.64404296875,2.066229820251465,25.429986572265648,-27.823549270629883,-132.23963928222656
87,2020-11-02 12,40.0,202.75,nan,0,0,9.2,580.0,1.752,20.1,40.5,997.6,1018.5688872655085,20.992410214727215,1000.672818738768,3.096341687986751,73.2685546875,53.5694219260027,5604.7705078125,1546.9175277260154,289.2560621360188,-310.953125,3.8278849124908447,18.097253417968773,-298.098876953125,-390.20654296875
89,2020-11-05 00,52.5,222.5,nan,0,0,39.4,560.0,7.664,55.5,71.5,972.6,1038.4971147904598,65.92643607952232,996.167055808512,23.596377097574532,58.06005859375,139.95548009958097,5430.23779296875,841.7038853959555,258.39645753446666,-300.12353515625,5.877834320068359,11.404168701171898,94.27568817138672,-452.6873779296875
122,2020-11-13 00,44.25,185.25,48.0,0,1,5.4,250.0,2.004,17.8,35.8,1017.4,1036.220070324263,18.848244152387906,1009.1592063821416,-8.212619789733367,44.64453125,115.29853348312794,5494.23046875,862.0446383562811,319.1227794433079,-129.6630859375,5.428530693054199,10.535668945312523,-596.8663330078125,-474.1303405761719
122,2020-11-14 12,49.25,215.75,12.0,1,1,21.5,320.0,6.598,43.1,59.7,987.3,1032.0925683627072,44.7756738314572,1000.7540055498632,13.437111018613223,87.5185546875,-80.8771486412606,5431.53369140625,623.785860633831,301.49925398491257,-178.74951171875,2.2085652351379395,11.948419189453148,23.967863082885742,-576.6099853515625
134,2020-11-18 00,56.25,168.0,nan,0,0,45.6,420.0,10.845,63.7,68.3,955.0,1024.9356121099568,69.96881523495676,984.8487419150939,29.88194504009391,46.6533203125,146.4441611700725,5300.66162109375,203.73135397903152,342.38698560745803,-387.94921875,12.331947326660156,4.752343750000023,260.386474609375,-84.95677947998047
151,2020-11-21 18,42.5,166.75,36.0,0,1,16.8,640.0,2.995,30.6,49.0,991.3,1022.6891063143595,31.430134146390742,992.950357424497,1.6913852565282923,186.27392578125,152.64825517783794,5612.96435546875,1529.0368647309153,359.2319936414139,-256.70849609375,7.678750991821289,10.961297607421898,-362.6770935058594,-512.087646484375
151,2020-11-23 06,55.5,200.25,0.0,1,1,44.0,560.0,8.348,58.1,75.1,957.5,1026.7820739668107,69.24691771681069,985.5132705591202,27.9781143091202,194.60791015625,138.49956760969442,5431.44873046875,1997.489736426315,270.0,-277.27294921875,18.077842712402344,7.686364746093773,211.50704956054688,-428.31048583984375
169,2020-11-27 12,53.25,188.5,0.0,1,1,31.8,510.0,6.514,47.9,65.3,968.8,1018.9840577994514,50.15715350257642,992.0110764107583,23.184172113883278,85.05224609375,-27.6002053581493,5331.41455078125,741.8513101788767,284.8900767211121,-365.779296875,3.8263683319091797,5.016229248046898,-17.772615432739258,-299.37451171875
170,2020-11-29 00,46.5,163.0,0.0,1,1,43.5,480.0,9.283,62.8,79.8,964.2,1023.3815460852288,59.13490301882257,986.6692229258275,22.422579859421262,100.52880859375,64.88284843294977,5447.4462890625,223.24172391576786,184.91786369499926,-360.78369140625,7.493350982666016,7.263879394531273,240.70193481445312,-322.79473876953125
178,2020-12-01 18,37.75,186.0,30.0,0,1,6.7,220.0,2.986,24.1,44.7,1001.3,1018.1594580995245,16.8979834901495,990.486999699649,-10.774474909725996,34.6005859375,-109.21507213049485,5498.8486328125,1950.5012925595902,315.88091208986083,-409.63037109375,4.550924301147461,15.887200927734398,-422.3669738769531,-489.54638671875
177,2020-12-01 18,53.5,204.0,nan,0,0,17.6,870.0,2.867,27.8,39.2,972.2,1003.69322590925,31.48558430768753,986.347636428855,14.139994827292526,50.845703125,250.79943177405374,5330.6845703125,725.7159671068276,314.9482857615762,-419.36962890625,6.45463752746582,5.639001464843773,-302.455322265625,-285.8763732910156
181,2020-12-03 06,36.25,151.0,36.0,0,1,8.9,240.0,3.604,28.4,54.5,1006.0,1026.756058928842,20.758012053842094,1008.4194875992766,2.4214407242766356,143.298828125,-2.4057143503990543,5626.79248046875,1975.2208362526978,357.39864119493944,-355.92138671875,11.270381927490234,21.790429687500023,-436.0887756347656,-399.53814697265625
181,2020-12-04 18,41.75,178.5,0.0,1,1,41.4,330.0,12.229,67.6,93.0,958.3,1021.0000584474623,62.668332373243516,985.1987541163583,26.86702804213951,105.39892578125,-22.683597220679857,5500.42333984375,223.32472695353772,354.67216719384146,-369.89892578125,7.029358863830566,13.013024902343773,104.47138977050781,-642.7618408203125
197,2020-12-10 00,53.25,218.25,nan,0,0,26.3,420.0,6.247,44.0,54.5,994.3,1023.7698286227065,29.48961622036279,1014.9720413232953,20.691828920951593,105.427734375,18.215241761891445,5360.09912109375,1692.7204385773819,314.22131465054963,-109.85546875,2.094528913497925,7.497460937500023,63.727909088134766,-135.98220825195312
207,2020-12-12 06,30.75,176.25,48.0,0,1,14.8,400.0,3.609,35.4,69.5,998.1,1013.9803185514015,15.890413766245274,1015.8618100989555,17.771905313799266,108.30322265625,-11.553620710611373,5712.97802734375,1973.8259550744117,359.30650766663837,-164.154296875,4.040592193603516,22.687677001953148,-129.0089111328125,-368.0260009765625
217,2020-12-13 18,49.25,155.75,6.0,1,1,42.5,400.0,10.767,64.4,75.3,956.1,1023.338270414006,67.2289564491623,965.3110010293977,9.201687064553994,116.90771484375,81.81172544363469,5360.89794921875,223.15882916286526,184.66471352352352,-408.71533203125,3.93879771232605,2.6224609375000227,252.67965698242188,-181.78919982910156
207,2020-12-13 18,39.5,199.0,12.0,1,1,28.9,430.0,6.69,50.9,69.4,982.7,1016.2303909882223,33.548567257753575,1007.4414810570868,24.759657326618026,174.75830078125,79.168382488939,5582.94287109375,1838.6629673194848,327.9829998653797,-180.578125,2.4345526695251465,13.446588134765648,-29.771875381469727,-298.7381896972656
