track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw
3,2020-10-01 06,39.75,176.0,nan,0,0,11.0,350.0,3.037,27.5,42.5,1004.3,1018.5399920151772,14.223036448770927,995.7511468999592,-8.565808666447083,165.13427734375,-125.59437979562338,5791.91064453125,1915.4143182096757,349.1198454720691,-98.22021484375,5.0097432136535645,19.880853271484398,-216.81716918945312,-142.46006774902344,10.94
9,2020-10-05 06,46.0,146.5,nan,0,0,14.3,740.0,2.428,25.4,43.6,992.8,1020.8472293233565,28.013244948356487,1004.0594858093614,11.225501434361377,47.24755859375,13.55210288512318,5576.0830078125,863.625305101998,252.8562402513138,-396.61962890625,13.580497741699219,14.598657226562523,-377.8236083984375,-498.308837890625,11.15
29,2020-10-14 06,53.25,155.25,nan,0,0,11.7,640.0,2.09,20.3,51.9,1002.1,1022.6600097441254,20.551550271469182,1022.4338419720368,20.325382499380567,69.345703125,6.790891480107588,5455.5498046875,1131.0416922920915,296.389557210662,-343.4169921875,6.435395240783691,9.132318115234398,-450.3887634277344,-431.9054260253906,14.38
42,2020-10-21 00,44.75,174.0,nan,0,0,14.8,370.0,4.01,32.7,48.2,998.5,1029.7805040492035,31.32365590467225,1001.1209114663754,2.6640633218441963,66.35107421875,66.07126797077615,5584.2958984375,1071.1416679377635,305.1471365319401,-272.42138671875,6.558673858642578,12.680810546875023,-247.6182861328125,-484.8641662597656,15.04
61,2020-10-26 06,52.25,149.75,nan,0,0,18.7,610.0,3.374,30.3,44.5,992.6,1020.0635324091264,27.441523131782674,1000.085690710346,7.463681433002193,-25.49267578125,43.520720769401876,5353.42041015625,306.28865453045944,183.18557406958215,-223.126953125,7.402070999145508,7.680871582031273,55.429832458496094,-126.49223327636719,17.0
68,2020-10-28 06,36.25,157.5,0.0,1,1,20.5,360.0,5.496,43.1,80.6,996.1,1019.8037729919297,23.70471293333594,1006.5918687857003,10.492808727106535,61.51318359375,79.09386478898456,5680.5810546875,1994.1372450936026,290.3335940415834,-206.51708984375,7.526415824890137,21.950769042968773,-117.36195373535156,-438.1784362792969,18.17
71,2020-10-31 06,48.75,194.75,nan,0,0,29.7,540.0,5.757,45.7,49.6,984.4,1026.1275906154629,41.73537870140035,999.7703370147277,15.378125100665216,28.73486328125,157.22547050270413,5447.21435546875,223.17385839540944,184.711567622377,-221.39013671875,3.0202953815460205,10.011071777343773,97.62156677246094,-53.35691452026367,21.55
97,2020-11-04 06,51.5,161.0,nan,0,0,21.6,710.0,3.675,33.7,70.6,980.6,1013.843460771775,33.23878547880622,1011.4529737169228,30.84829842395402,109.82568359375,-23.47234424291488,5488.4052734375,1187.4883900222442,261.8138402608889,-473.90869140625,4.259041786193848,7.223901367187523,-307.5885009765625,-646.3519287109375,22.6
102,2020-11-07 18,51.75,172.0,nan,0,0,11.2,250.0,4.169,28.7,44.0,997.7,1007.7510067290887,10.058257705651158,998.3062049279918,0.6134559045542574,-78.38232421875,132.69752536226042,5299.111328125,1714.2755524512538,289.5630774792936,-320.080078125,2.177985668182373,6.227349853515648,-239.54161071777344,-238.39892578125,15.78
122,2020-11-13 18,47.5,200.75,30.0,0,1,9.8,280.0,3.298,25.7,36.5,1006.2,1034.4028408844997,28.24543121653096,992.1582062872553,-13.999203380713425,67.0419921875,-27.306966212008813,5451.49951171875,703.6994370657299,310.9480443426721,-139.22265625,2.2397966384887695,10.278833007812523,-444.7806701660156,-521.53369140625,12.73
129,2020-11-15 06,41.5,168.0,nan,0,0,25.8,420.0,6.07,46.6,66.0,994.1,1028.879764613232,34.817752894482055,1022.1549928684092,28.09298114965918,189.1171875,-13.723389998096806,5675.34375,528.1632840675201,282.0588751133998,-208.01953125,9.112160682678223,17.735559082031273,-236.4669952392578,-402.21417236328125,25.67
141,2020-11-20 18,58.0,195.0,nan,0,0,30.6,610.0,5.567,43.2,64.0,969.6,1004.7657608496035,35.1514420019472,987.9628373222436,18.34851847458731,69.3447265625,62.96008377103899,5296.740234375,208.69661217371612,200.73234390728197,-336.70556640625,20.782777786254883,4.628686523437523,-23.859617233276367,-61.080631256103516,25.34
151,2020-11-22 12,48.5,186.0,18.0,1,1,25.1,620.0,4.51,39.5,70.9,979.2,1022.2227277587388,43.057566625926256,986.2933445642977,7.12818343148524,225.19384765625,197.71246858344045,5560.8359375,1300.1557743170995,317.37646167862965,-261.974609375,3.0168581008911133,7.104882812500023,-276.099609375,-473.08453369140625,21.23
153,2020-11-22 12,53.0,148.0,nan,0,0,23.3,510.0,4.657,37.3,58.8,985.0,1029.8579271841936,44.86787591466236,988.143814206226,3.1537629366947613,-130.57958984375,-84.74288757007899,5140.1142578125,278.5194308340387,183.44399226328468,-431.5947265625,7.654432773590088,3.0349670410156477,-3.9000940322875977,-207.56492614746094,23.05
154,2020-11-22 12,49.0,220.25,nan,0,0,10.0,330.0,3.02,24.9,45.4,1005.5,1031.6302747606126,26.104884135612565,1013.4157268785646,7.890336253564556,113.3056640625,74.42168357920563,5441.52392578125,560.2522565562152,352.52482101088714,-122.58740234375,1.7380183935165405,10.900109863281273,-369.1890869140625,-381.5736999511719,13.58
167,2020-11-26 18,37.25,209.0,nan,0,0,6.1,310.0,1.849,19.0,35.9,1017.7,1031.226972931192,13.496687286660745,1021.0238949111161,3.2936092665848946,42.30322265625,-8.340888160035401,5554.796875,1579.2170870594655,343.85663451508145,-185.6162109375,3.1051621437072754,19.662561035156273,-207.08615112304688,-282.68572998046875,7.78
170,2020-11-28 06,40.75,151.25,18.0,1,1,18.0,540.0,3.5,33.8,46.5,995.4,1030.6038692742097,35.20897181327223,1010.1499963104318,14.755098849494289,67.5625,81.6126162395464,5511.97607421875,742.8669479875456,280.67909556714517,-295.52783203125,12.304551124572754,15.293572998046898,-370.5775451660156,-545.93115234375,13.78
175,2020-11-30 18,52.5,165.75,nan,0,0,6.3,440.0,1.436,14.1,29.6,1000.1,1024.8951161267553,24.773656165817783,962.3982328377239,-37.72322712321363,-106.68310546875,-41.15478405396503,5160.32861328125,1659.6137980252045,261.1544527206178,-343.84521484375,3.952685832977295,4.932153320312523,26.190378189086914,-178.64503479003906,7.19
178,2020-12-02 12,38.75,202.5,12.0,1,1,13.6,230.0,5.71,37.2,59.8,994.3,1013.7218043316341,19.373293589446575,1001.5688882927184,7.220377550530884,74.27587890625,43.28882593349748,5506.2333984375,1992.036326258858,299.16815981904983,-396.51171875,2.735535144805908,16.001092529296898,-261.09716796875,-383.04315185546875,16.63
181,2020-12-04 00,39.75,163.75,18.0,1,1,17.9,440.0,4.048,36.0,71.2,993.3,1023.4235745130358,30.15312773569201,982.8707445004295,-10.39970227691424,161.79150390625,-62.903732827912634,5586.125,1348.259176361248,330.22347779442754,-345.74658203125,7.26161527633667,15.820916748046898,-419.03631591796875,-555.8890380859375,14.92
183,2020-12-04 00,46.0,209.5,nan,0,0,20.4,260.0,7.346,43.9,59.5,985.2,1014.3463667631537,29.177177310028696,1004.4076674225776,19.23847796945256,79.4580078125,186.94972390324813,5412.63427734375,1658.7113756398974,278.47021818606333,-409.60498046875,2.915729522705078,10.280694580078148,-229.1833953857422,-321.4905700683594,20.05
195,2020-12-08 12,45.75,169.75,nan,0,0,14.4,500.0,2.972,27.9,47.5,993.5,1017.498591333662,23.952814966474534,1003.3737075514897,9.827931184302201,19.64599609375,-143.08628630092346,5360.91455078125,1673.2725079414238,282.98611687011123,-369.25732421875,9.11401653289795,5.952172851562523,-201.26307678222656,-267.7483215332031,14.62
204,2020-12-11 12,36.5,201.75,12.0,1,1,15.9,390.0,3.974,35.4,60.1,993.1,1019.8422837926876,26.712278909875067,1001.0041307009199,7.874125818107359,4.35205078125,108.75120162496702,5511.25439453125,1314.710683121907,306.36222514576156,-236.49609375,2.429966926574707,16.624169921875023,-268.83197021484375,-491.9278259277344,16.1
199,2020-12-11 12,49.5,201.5,nan,0,0,31.1,390.0,7.837,51.5,54.0,972.6,1013.0841126719453,40.44080212507026,1000.3312628049512,27.687952258076166,184.375,186.8719039699546,5442.19775390625,1708.3462644552458,283.5276335430491,-293.05078125,1.5900683403015137,6.725823974609398,15.372343063354492,-132.71823120117188,26.98
207,2020-12-13 00,35.75,188.25,30.0,0,1,32.0,290.0,10.462,60.2,73.6,981.8,1017.377043578852,35.5329884030707,1010.8682342156678,29.024179039886576,180.40771484375,19.865656480126876,5677.73193359375,1994.8447342637828,341.7715093456246,-212.36865234375,4.0710272789001465,16.641168212890648,23.29890251159668,-354.7978515625,27.49
221,2020-12-14 12,42.5,162.5,0.0,1,1,16.9,170.0,10.313,46.9,69.3,981.0,1012.7359429625201,31.776104095332585,985.6685312974174,4.708692430229917,130.57666015625,-52.105974175939785,5479.443359375,1472.6322706848903,286.99600651432127,-421.203125,7.814586639404297,9.848779296875023,-515.699462890625,-218.5083770751953,24.53
246,2020-12-21 12,46.25,230.25,nan,0,0,13.9,340.0,3.925,31.1,41.7,1005.2,1025.21953977206,19.97448361971624,1011.4523029454858,6.207246793142076,176.81689453125,139.57108055422012,5488.61083984375,1997.2646176196506,187.76466262093155,-42.96044921875,4.313594341278076,11.469171142578148,-168.1643829345703,-299.883056640625,14.16
256,2020-12-25 00,51.0,159.25,nan,0,0,9.2,690.0,1.588,16.5,33.4,995.8,1016.6545821980326,20.827861006626335,985.0404544768303,-10.786266714575959,-97.435546875,-168.49639099162704,5147.99169921875,1987.401606841969,269.20142105888124,-390.65478515625,4.768021106719971,2.6893554687500227,-457.00006103515625,-219.08155822753906,9.96
266,2020-12-26 12,48.25,171.25,6.0,1,1,43.7,580.0,8.218,60.5,73.8,945.6,1016.83909044082,71.28208360488247,961.5520115971196,15.995004761182145,112.89111328125,171.4220228023036,5397.48193359375,223.18891189319055,184.75805826573904,-476.33251953125,6.921011447906494,3.7592407226562727,226.5940704345703,-69.66604614257812,33.4
278,2020-12-29 06,35.75,167.25,6.0,1,1,18.7,300.0,5.909,42.6,68.1,991.2,1021.5930781844659,30.367553282122117,998.3231216430067,7.097596740662993,86.09326171875,-14.535609575741333,5552.58984375,1479.3245169612248,332.339099722139,-391.82177734375,9.003571510314941,18.794274902343773,-109.06034851074219,-570.9779663085938,19.51
293,2021-01-04 18,49.75,204.25,6.0,1,1,26.7,390.0,7.005,47.6,61.6,956.9,1012.2801063824643,55.39961321840178,970.1802293817765,13.299736217713985,138.3935546875,33.4792222916202,5370.4638671875,787.4572454156398,261.80735230293294,-390.369140625,1.4099400043487549,6.208032226562523,-88.84894561767578,-217.12637329101562,23.85
289,2021-01-04 18,53.75,222.25,nan,0,0,24.8,470.0,5.364,40.5,60.6,969.0,986.3648684151925,17.368164313630018,996.7441342134398,27.747430111877293,98.72607421875,180.4349395302915,5293.93212890625,1999.4410015639926,253.9921620968745,-386.3837890625,5.404452800750732,6.872766113281273,19.756553649902344,-7.059332847595215,24.21
307,2021-01-07 00,37.75,144.5,0.0,1,1,12.4,520.0,2.531,27.1,46.7,1000.0,1033.9581336531232,33.93725962968574,1000.9093026314113,0.8884286079737649,32.6943359375,104.48757053574187,5427.70263671875,1254.1882672040197,280.0654136708954,-479.283203125,14.474960327148438,19.048486328125023,-586.2560424804688,-698.3900146484375,10.62
306,2021-01-07 00,38.5,171.75,30.0,0,1,14.4,470.0,3.068,30.3,50.0,996.3,1014.1848200707516,17.905340090282834,998.342627690193,2.0631477097242623,176.18798828125,7.112369697326218,5551.640625,1990.0370259989988,316.79795154118557,-388.43017578125,7.724860191345215,12.716088867187523,-344.1372985839844,-396.35797119140625,12.49
311,2021-01-09 06,44.5,153.0,nan,0,0,8.3,280.0,3.025,24.7,43.9,994.9,1020.7690180937672,25.88449660939216,962.5037033049422,-32.38081817943282,-185.74072265625,-53.63741490056257,5118.10009765625,1092.1153442990226,327.8162073045658,-430.8134765625,12.871081352233887,2.4781433105468977,-250.2130126953125,-685.849365234375,11.24
316,2021-01-12 06,57.25,168.5,nan,0,0,9.8,440.0,2.298,20.1,39.2,997.2,1021.7445472811853,24.535929117122805,968.5224600505488,-28.68615811351367,-113.404296875,17.4637643855649,5041.04833984375,1512.6945320704158,262.47835383771076,-261.005859375,8.132720947265625,1.8882385253906477,-43.47080993652344,-97.78668212890625,14.19
330,2021-01-13 18,43.0,165.75,0.0,1,1,35.1,480.0,7.447,55.3,79.7,971.9,1018.7555828053404,46.889982219402896,989.0576940503673,17.19209346442983,7.26123046875,-92.215692815428,5371.88037109375,203.66325496798976,342.5970629341105,-300.55908203125,8.413971900939941,6.066094970703148,42.882144927978516,-462.35906982421875,32.79
348,2021-01-18 00,36.0,161.75,24.0,1,1,17.6,400.0,4.314,37.9,67.7,997.1,1018.6132517296184,21.476349874149605,1010.6428867689795,13.505984913510702,205.2841796875,-13.345919496056485,5676.95556640625,1999.9573824727859,302.68031931132793,-354.19140625,5.938482761383057,17.220666503906273,-272.8570251464844,-418.4583435058594,15.89
352,2021-01-19 12,42.75,153.25,6.0,1,1,21.1,320.0,6.385,43.8,66.0,987.9,1033.8418088066123,45.951488982393585,979.7994274170321,-8.09089240718663,-149.70654296875,94.67666789013882,5190.4375,824.7599318862307,325.9579558840353,-429.1181640625,14.068928718566895,2.7885375976562727,118.07228088378906,-557.2965087890625,23.7
