when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2025-10-01 00,49.5,225.75,976.0,1008.7,32.7,33.2,480.0,1.32,6.919,50.3,84.9,39.6,58.6,46.75,223.75,340.0
2025-10-01 00,48.75,173.75,996.3,1011.9,15.6,15.7,480.0,0.45,3.278,29.0,40.7,32.2,41.4,46.25,169.0,452.0
2025-10-01 06,49.0,226.25,978.9,1010.4,31.5,32.0,470.0,1.34,6.817,49.6,84.3,38.3,55.4,48.25,221.0,395.0
2025-10-01 06,49.5,178.25,996.2,1011.5,15.4,15.3,450.0,0.34,3.401,29.3,41.7,30.5,43.5,47.5,174.0,384.0
2025-10-01 12,48.75,227.5,981.3,1011.4,30.1,30.2,440.0,1.41,6.872,49.0,85.3,36.5,49.1,47.25,223.5,341.0
2025-10-01 18,48.5,229.25,985.6,1012.6,27.0,26.8,420.0,1.15,6.387,46.0,79.6,35.4,53.6,49.75,232.25,259.0
2025-10-02 00,49.25,230.5,989.7,1012.2,22.5,22.1,380.0,1.09,5.818,41.6,71.7,32.6,48.5,49.5,233.0,183.0
2025-10-02 00,38.25,149.5,1001.0,1017.1,16.1,15.9,410.0,1.52,3.877,34.7,58.5,36.6,54.8,38.0,149.0,52.0
2025-10-02 06,49.5,230.25,995.1,1014.2,19.1,18.5,350.0,0.85,5.282,37.9,64.8,29.9,44.9,50.25,228.75,136.0
2025-10-02 06,40.0,153.25,996.6,1016.5,20.0,19.7,400.0,1.79,4.932,40.2,71.6,38.0,55.8,39.5,152.25,102.0
2025-10-02 12,44.0,157.5,992.5,1016.8,24.3,24.3,440.0,1.31,5.528,43.5,74.3,39.7,60.0,43.0,156.0,164.0
2025-10-02 12,49.25,230.5,1000.1,1015.2,15.1,14.4,280.0,0.78,5.141,34.8,63.3,29.8,39.1,49.0,228.75,130.0
2025-10-02 18,46.0,161.25,986.3,1014.5,28.1,28.4,470.0,1.41,6.052,46.5,78.5,44.4,65.6,44.75,159.75,182.0
2025-10-03 00,49.25,166.25,982.9,1011.8,29.0,30.9,580.0,1.15,5.335,43.9,65.7,46.3,66.3,45.25,164.25,470.0
2025-10-03 06,51.0,170.0,978.3,1008.5,30.2,33.2,610.0,1.24,5.437,44.5,65.3,43.6,63.2,46.75,169.75,473.0
