when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2024-10-01 00,54.25,216.0,960.7,1014.8,54.1,54.8,460.0,3.57,11.919,70.6,137.1,51.0,82.0,53.5,215.5,90.0
2024-10-01 00,57.75,176.5,993.4,1011.5,18.1,18.9,520.0,0.95,3.631,29.9,40.1,28.7,39.4,56.25,184.25,498.0
2024-10-01 00,55.0,151.5,995.6,1008.0,12.4,12.4,470.0,0.77,2.63,23.1,30.0,23.0,31.5,50.75,152.25,475.0
2024-10-01 00,33.5,192.75,1011.1,1019.3,8.3,8.9,580.0,0.46,1.53,19.8,25.9,26.1,38.2,37.0,189.75,475.0
2024-10-01 06,55.5,217.5,962.0,1015.0,53.1,53.8,450.0,3.32,11.959,69.8,135.4,50.4,75.8,53.5,218.25,228.0
2024-10-01 06,56.75,156.25,993.0,1006.0,13.0,13.4,480.0,1.01,2.791,24.0,31.1,25.1,32.7,56.0,155.5,95.0
2024-10-01 06,57.5,177.75,997.3,1011.0,13.7,14.4,530.0,0.75,2.717,23.8,30.1,28.2,36.5,57.75,185.0,432.0
2024-10-01 06,34.0,192.75,1011.8,1021.6,9.8,10.3,560.0,0.43,1.837,22.6,30.7,33.3,35.5,35.75,189.0,394.0
2024-10-01 12,55.75,219.0,970.0,1015.9,45.9,45.7,410.0,2.87,11.138,64.5,125.8,43.9,67.8,52.5,218.25,365.0
2024-10-01 12,57.25,184.0,1002.5,1012.8,10.3,10.6,530.0,0.21,2.005,18.4,22.2,24.3,33.0,55.75,191.0,461.0
2024-10-01 12,34.25,193.25,1011.9,1022.3,10.4,10.8,550.0,0.46,1.966,23.6,32.6,31.4,41.4,37.5,196.0,438.0
2024-10-01 18,55.5,220.75,977.6,1017.5,39.8,39.1,380.0,2.27,10.3,59.8,116.6,45.1,62.9,53.5,219.0,249.0
2024-10-01 18,39.5,145.25,991.4,1012.9,21.5,20.4,220.0,1.73,9.263,49.3,135.9,45.8,61.7,39.0,146.25,102.0
2024-10-01 18,56.25,191.25,1005.9,1015.0,9.2,9.5,520.0,0.41,1.826,17.1,20.5,29.4,40.5,53.0,195.25,444.0
2024-10-01 18,34.75,193.75,1012.9,1023.3,10.4,10.4,480.0,0.43,2.168,24.5,35.5,35.1,45.4,35.0,192.0,162.0
2024-10-02 00,55.25,223.5,987.6,1018.0,30.4,29.6,340.0,1.62,8.712,51.5,99.0,41.5,58.4,52.75,220.5,340.0
