track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
0,0,,8,2020-10-01 00,2020-10-02 00,49.25,208.5,968.4,36.9,570.0,6.94,53.0,46.4,66.3,202.0,26.3,430.0,6.141,46.7,976.8,43.25,-8.399999999999977,10,2020
3,0,,9,2020-10-03 00,2020-10-05 00,58.0,212.5,980.5,26.5,480.0,5.667,41.4,36.0,53.2,330.0,19.8,540.0,3.889,33.4,986.3,51.0,-5.7999999999999545,10,2020
4,0,,4,2020-10-05 12,2020-10-06 00,50.25,150.25,979.3,27.2,470.0,5.998,44.9,39.8,59.1,195.0,nan,nan,nan,nan,nan,nan,nan,10,2020
5,0,,4,2020-10-06 06,2020-10-07 00,57.75,171.5,965.8,36.4,780.0,5.962,48.2,40.6,56.5,293.0,nan,nan,nan,nan,nan,nan,nan,10,2020
6,0,,4,2020-10-10 00,2020-10-10 12,57.0,221.5,978.7,18.4,300.0,5.91,37.7,32.7,46.0,111.0,nan,nan,nan,nan,nan,nan,nan,10,2020
7,0,,3,2020-10-10 12,2020-10-10 12,58.0,178.0,988.8,15.7,810.0,2.548,23.9,30.2,39.7,335.0,nan,nan,nan,nan,nan,nan,nan,10,2020
9,0,,3,2020-10-13 06,2020-10-13 12,49.75,230.5,983.9,31.9,310.0,9.873,55.6,42.4,63.7,56.0,nan,nan,nan,nan,nan,nan,nan,10,2020
10,0,,7,2020-10-14 12,2020-10-15 00,45.0,206.0,996.6,22.1,540.0,4.327,38.1,39.7,63.3,294.0,nan,nan,nan,nan,nan,nan,nan,10,2020
15,0,,4,2020-10-18 12,2020-10-19 06,57.75,150.5,990.4,21.2,530.0,4.231,33.9,35.1,53.3,205.0,nan,nan,nan,nan,nan,nan,nan,10,2020
17,0,,4,2020-10-20 18,2020-10-21 06,54.75,165.75,993.8,23.7,440.0,5.374,39.6,41.4,61.2,162.0,nan,nan,nan,nan,nan,nan,nan,10,2020
18,0,,6,2020-10-21 06,2020-10-22 00,49.0,175.5,971.9,39.6,380.0,10.314,61.6,45.1,68.2,231.0,nan,nan,nan,nan,nan,nan,nan,10,2020
19,0,,10,2020-10-22 18,2020-10-22 18,50.5,181.0,976.7,33.9,680.0,5.807,48.2,40.2,56.6,475.0,nan,nan,nan,nan,nan,nan,nan,10,2020
20,0,,6,2020-10-22 18,2020-10-23 18,50.0,231.75,1006.9,21.2,490.0,4.349,35.9,34.5,46.9,248.0,16.8,510.0,3.303,28.6,1010.2,53.0,-3.300000000000068,10,2020
21,0,,6,2020-10-25 00,2020-10-25 18,53.25,150.75,987.7,23.0,680.0,3.906,34.6,34.5,51.9,452.0,nan,nan,nan,nan,nan,nan,nan,10,2020
22,0,,4,2020-10-25 06,2020-10-26 00,54.25,203.5,991.3,23.1,580.0,4.357,36.2,33.4,47.3,492.0,nan,nan,nan,nan,nan,nan,nan,10,2020
