track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
0,0,,8,2020-10-01 00,2020-10-02 00,49.25,208.5,968.4,36.9,570.0,6.94,53.0,46.4,66.3,202.0,26.3,430.0,6.141,46.7,976.8,43.25,-8.399999999999977,10,2020
1,0,,3,2020-10-01 00,2020-10-01 00,55.0,202.0,977.9,23.3,710.0,3.866,34.1,29.0,49.1,462.0,nan,nan,nan,nan,nan,nan,nan,10,2020
2,0,,6,2020-10-01 00,2020-10-02 06,44.75,162.0,997.3,14.6,560.0,2.763,27.2,33.6,46.1,343.0,16.1,370.0,4.237,34.3,997.6,43.5,-0.3000000000000682,10,2020
3,0,,7,2020-10-01 00,2020-10-01 00,40.75,172.75,1003.6,12.6,340.0,3.585,30.4,32.7,46.1,224.0,nan,nan,nan,nan,nan,nan,nan,10,2020
6,0,,11,2020-10-02 12,2020-10-05 00,58.0,212.5,980.5,26.5,480.0,5.667,41.4,36.0,53.2,330.0,19.8,540.0,3.889,33.4,986.3,51.0,-5.7999999999999545,10,2020
7,0,,4,2020-10-03 06,2020-10-03 12,37.5,218.5,1012.6,6.1,240.0,2.388,21.2,30.1,42.0,44.0,nan,nan,nan,nan,nan,nan,nan,10,2020
9,0,,5,2020-10-05 06,2020-10-06 00,50.25,150.25,979.3,27.2,470.0,5.998,44.9,39.8,59.1,195.0,nan,nan,nan,nan,nan,nan,nan,10,2020
10,0,,4,2020-10-06 06,2020-10-07 00,57.75,171.5,965.8,36.4,780.0,5.962,48.2,40.6,56.5,293.0,nan,nan,nan,nan,nan,nan,nan,10,2020
11,0,,6,2020-10-07 06,2020-10-08 12,42.75,225.0,1005.5,9.8,450.0,2.129,21.6,34.3,47.2,353.0,7.1,410.0,1.666,17.6,1014.5,42.0,-9.0,10,2020
14,0,,8,2020-10-08 18,2020-10-10 12,44.25,198.0,1001.7,8.1,370.0,2.109,20.3,30.1,51.4,179.0,8.2,300.0,2.617,23.4,1009.0,40.75,-7.2999999999999545,10,2020
16,0,,7,2020-10-09 18,2020-10-10 12,57.0,221.5,978.7,18.4,300.0,5.91,37.7,32.7,46.8,111.0,nan,nan,nan,nan,nan,nan,nan,10,2020
17,0,,4,2020-10-10 12,2020-10-10 12,58.0,178.0,988.8,15.7,810.0,2.548,23.9,30.2,39.7,335.0,nan,nan,nan,nan,nan,nan,nan,10,2020
18,0,,5,2020-10-11 00,2020-10-12 00,49.25,233.0,997.6,16.0,300.0,5.111,35.4,35.0,49.4,340.0,9.6,360.0,2.6,23.1,999.5,47.0,-1.8999999999999773,10,2020
22,0,,7,2020-10-12 06,2020-10-13 12,49.75,230.5,983.9,31.9,310.0,9.873,55.6,42.4,63.7,56.0,8.6,300.0,2.774,23.8,1010.3,43.75,-26.399999999999977,10,2020
23,0,,8,2020-10-12 18,2020-10-12 18,55.0,201.5,1000.5,10.3,1000.0,1.715,17.6,24.0,31.1,418.0,nan,nan,nan,nan,nan,nan,nan,10,2020
26,0,,11,2020-10-13 12,2020-10-15 00,45.0,206.0,996.6,22.1,540.0,4.327,38.1,39.7,63.3,294.0,9.9,580.0,1.833,22.6,1006.9,34.25,-10.299999999999955,10,2020
29,0,,3,2020-10-14 06,2020-10-14 18,55.5,161.75,994.6,19.3,580.0,3.575,30.7,38.7,60.4,408.0,nan,nan,nan,nan,nan,nan,nan,10,2020
